source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
261189	BMRI	2024-12-05 08:59:00	60		0	0	6350.000000	6350.000000	6350.000000	6350.000000	1124600	11	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	-1	-1
261190	BMRI	2024-12-05 09:00:00	60	60	0	0	6350.000000	6375.000000	6350.000000	6375.000000	240800	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
261191	BMRI	2024-12-05 09:01:00	60	60	0	0	6350.000000	6375.000000	6325.000000	6350.000000	760400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
261192	BMRI	2024-12-05 09:02:00	60	60	0	0	6350.000000	6350.000000	6325.000000	6350.000000	59400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
261193	BMRI	2024-12-05 09:03:00	60	60	0	0	6350.000000	6350.000000	6325.000000	6350.000000	11400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
261194	BMRI	2024-12-05 09:04:00	60	60	0	0	6325.000000	6350.000000	6325.000000	6325.000000	479500	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
261195	BMRI	2024-12-05 09:05:00	60	60	0	0	6350.000000	6350.000000	6300.000000	6325.000000	452600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261196	BMRI	2024-12-05 09:06:00	60	60	0	0	6325.000000	6325.000000	6300.000000	6325.000000	34400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261197	BMRI	2024-12-05 09:07:00	60	60	0	0	6325.000000	6325.000000	6300.000000	6300.000000	30100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261198	BMRI	2024-12-05 09:08:00	60	60	0	0	6325.000000	6325.000000	6300.000000	6325.000000	735200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261199	BMRI	2024-12-05 09:09:00	60	60	0	0	6300.000000	6325.000000	6300.000000	6325.000000	53800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261200	BMRI	2024-12-05 09:10:00	60	60	0	0	6300.000000	6325.000000	6300.000000	6325.000000	33500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261201	BMRI	2024-12-05 09:11:00	60	60	0	0	6300.000000	6325.000000	6300.000000	6325.000000	92100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261202	BMRI	2024-12-05 09:12:00	60	60	0	0	6325.000000	6325.000000	6300.000000	6325.000000	55100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261203	BMRI	2024-12-05 09:13:00	60	60	0	0	6325.000000	6325.000000	6300.000000	6325.000000	39200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261204	BMRI	2024-12-05 09:14:00	60	60	0	0	6325.000000	6325.000000	6300.000000	6325.000000	61600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261205	BMRI	2024-12-05 09:15:00	60	60	0	0	6300.000000	6325.000000	6300.000000	6325.000000	28600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261206	BMRI	2024-12-05 09:16:00	60	60	0	0	6300.000000	6325.000000	6300.000000	6300.000000	225400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261207	BMRI	2024-12-05 09:17:00	60	60	0	0	6325.000000	6325.000000	6300.000000	6325.000000	63200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261208	BMRI	2024-12-05 09:18:00	60	60	0	0	6300.000000	6325.000000	6300.000000	6325.000000	17000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261209	BMRI	2024-12-05 09:19:00	60	60	0	0	6300.000000	6325.000000	6300.000000	6325.000000	18700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261210	BMRI	2024-12-05 09:20:00	60	60	0	0	6300.000000	6325.000000	6300.000000	6325.000000	398900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261211	BMRI	2024-12-05 09:21:00	60	60	0	0	6325.000000	6350.000000	6300.000000	6325.000000	1000200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
261212	BMRI	2024-12-05 09:22:00	60	60	0	0	6350.000000	6375.000000	6325.000000	6350.000000	121600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
