source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
256952	BMTR	2024-12-05 09:00:00	60		0	0	194.000000	196.000000	194.000000	195.000000	171500	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
256953	BMTR	2024-12-05 09:02:00	60	120	1	0	195.000000	195.000000	195.000000	195.000000	60000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
256954	BMTR	2024-12-05 09:03:00	60	60	0	0	195.000000	196.000000	195.000000	196.000000	13000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
256955	BMTR	2024-12-05 09:04:00	60	60	0	0	196.000000	196.000000	196.000000	196.000000	21400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
256956	BMTR	2024-12-05 09:05:00	60	60	0	0	196.000000	196.000000	195.000000	196.000000	50700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
256957	BMTR	2024-12-05 09:06:00	60	60	0	0	196.000000	196.000000	195.000000	195.000000	19800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
256958	BMTR	2024-12-05 09:07:00	60	60	0	0	195.000000	196.000000	195.000000	196.000000	13200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
256959	BMTR	2024-12-05 09:08:00	60	60	0	0	196.000000	196.000000	196.000000	196.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
256960	BMTR	2024-12-05 09:09:00	60	60	0	0	196.000000	196.000000	196.000000	196.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
256961	BMTR	2024-12-05 09:10:00	60	60	0	0	196.000000	196.000000	195.000000	195.000000	7722600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
256962	BMTR	2024-12-05 09:11:00	60	60	0	0	196.000000	196.000000	195.000000	195.000000	6500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
256963	BMTR	2024-12-05 09:12:00	60	60	0	0	196.000000	196.000000	196.000000	196.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
