source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
270274	BNGA	2024-12-05 09:00:00	60		0	0	1770.000000	1770.000000	1760.000000	1765.000000	48500	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
270275	BNGA	2024-12-05 09:02:00	60	120	1	0	1765.000000	1765.000000	1765.000000	1765.000000	900	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
270276	BNGA	2024-12-05 09:04:00	60	120	1	0	1770.000000	1770.000000	1765.000000	1770.000000	11500	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
270277	BNGA	2024-12-05 09:05:00	60	60	0	0	1770.000000	1770.000000	1770.000000	1770.000000	29800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
270278	BNGA	2024-12-05 09:06:00	60	60	0	0	1770.000000	1775.000000	1770.000000	1770.000000	21400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
270279	BNGA	2024-12-05 09:07:00	60	60	0	0	1775.000000	1780.000000	1775.000000	1780.000000	7800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
270280	BNGA	2024-12-05 09:08:00	60	60	0	0	1780.000000	1780.000000	1780.000000	1780.000000	3800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
270281	BNGA	2024-12-05 09:09:00	60	60	0	0	1780.000000	1780.000000	1775.000000	1780.000000	116200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
270282	BNGA	2024-12-05 09:10:00	60	60	0	0	1775.000000	1775.000000	1775.000000	1775.000000	1900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
270283	BNGA	2024-12-05 09:11:00	60	60	0	0	1775.000000	1775.000000	1770.000000	1775.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
270284	BNGA	2024-12-05 09:12:00	60	60	0	0	1770.000000	1770.000000	1770.000000	1770.000000	1500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
270285	BNGA	2024-12-05 09:13:00	60	60	0	0	1770.000000	1775.000000	1770.000000	1775.000000	1600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
270286	BNGA	2024-12-05 09:14:00	60	60	0	0	1770.000000	1770.000000	1770.000000	1770.000000	24800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
270287	BNGA	2024-12-05 09:15:00	60	60	0	0	1770.000000	1770.000000	1770.000000	1770.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
270288	BNGA	2024-12-05 09:16:00	60	60	0	0	1775.000000	1775.000000	1775.000000	1775.000000	2300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
270289	BNGA	2024-12-05 09:17:00	60	60	0	0	1770.000000	1775.000000	1770.000000	1775.000000	23500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
