source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
267358	BNII	2024-12-05 09:00:00	60		0	0	216.000000	216.000000	216.000000	216.000000	2100	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
267359	BNII	2024-12-05 09:09:00	60	540	1	0	216.000000	216.000000	216.000000	216.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267360	BNII	2024-12-05 09:10:00	60	60	0	0	216.000000	216.000000	216.000000	216.000000	2300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267361	BNII	2024-12-05 09:19:00	60	540	1	0	216.000000	216.000000	216.000000	216.000000	4200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267362	BNII	2024-12-05 09:21:00	60	120	1	0	218.000000	218.000000	218.000000	218.000000	50000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267363	BNII	2024-12-05 09:25:00	60	240	1	0	216.000000	216.000000	216.000000	216.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267364	BNII	2024-12-05 09:28:00	60	180	1	0	216.000000	216.000000	216.000000	216.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267365	BNII	2024-12-05 09:34:00	60	360	1	0	218.000000	218.000000	218.000000	218.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267366	BNII	2024-12-05 09:36:00	60	120	1	0	218.000000	218.000000	218.000000	218.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267367	BNII	2024-12-05 09:37:00	60	60	0	0	218.000000	218.000000	218.000000	218.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267368	BNII	2024-12-05 09:42:00	60	300	1	0	218.000000	218.000000	218.000000	218.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267369	BNII	2024-12-05 09:46:00	60	240	1	0	218.000000	218.000000	218.000000	218.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267370	BNII	2024-12-05 09:49:00	60	180	1	0	216.000000	216.000000	216.000000	216.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267371	BNII	2024-12-05 10:07:00	60	1080	1	0	216.000000	216.000000	216.000000	216.000000	800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267372	BNII	2024-12-05 10:10:00	60	180	1	0	218.000000	218.000000	218.000000	218.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267373	BNII	2024-12-05 10:11:00	60	60	0	0	218.000000	218.000000	216.000000	216.000000	3700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267374	BNII	2024-12-05 10:18:00	60	420	1	0	216.000000	216.000000	216.000000	216.000000	2300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267375	BNII	2024-12-05 10:31:00	60	780	1	0	218.000000	218.000000	218.000000	218.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267376	BNII	2024-12-05 10:32:00	60	60	0	0	218.000000	218.000000	218.000000	218.000000	2100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267377	BNII	2024-12-05 10:42:00	60	600	1	0	218.000000	218.000000	218.000000	218.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267378	BNII	2024-12-05 10:52:00	60	600	1	0	218.000000	218.000000	218.000000	218.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267379	BNII	2024-12-05 10:59:00	60	420	1	0	218.000000	218.000000	218.000000	218.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267380	BNII	2024-12-05 11:22:00	60	1380	1	0	218.000000	218.000000	218.000000	218.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267381	BNII	2024-12-05 11:38:00	60	960	1	0	218.000000	218.000000	218.000000	218.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267382	BNII	2024-12-05 11:39:00	60	60	0	0	216.000000	216.000000	216.000000	216.000000	4500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267383	BNII	2024-12-05 11:45:00	60	360	1	0	216.000000	216.000000	216.000000	216.000000	4000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267384	BNII	2024-12-05 11:47:00	60	120	1	0	218.000000	218.000000	218.000000	218.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
267385	BNII	2024-12-05 13:30:00	60	6180	1	0	218.000000	218.000000	218.000000	218.000000	10300	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
267386	BNII	2024-12-05 13:46:00	60	960	1	0	218.000000	218.000000	218.000000	218.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
267387	BNII	2024-12-05 13:49:00	60	180	1	0	216.000000	216.000000	216.000000	216.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
267388	BNII	2024-12-05 13:56:00	60	420	1	0	216.000000	216.000000	216.000000	216.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
267389	BNII	2024-12-05 14:27:00	60	1860	1	0	216.000000	216.000000	216.000000	216.000000	2000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
267390	BNII	2024-12-05 15:01:00	60	2040	1	0	218.000000	218.000000	218.000000	218.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
267391	BNII	2024-12-05 15:02:00	60	60	0	0	218.000000	218.000000	218.000000	218.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
267392	BNII	2024-12-05 15:06:00	60	240	1	0	218.000000	218.000000	218.000000	218.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
267393	BNII	2024-12-05 15:34:00	60	1680	1	0	218.000000	218.000000	218.000000	218.000000	20000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
267394	BNII	2024-12-05 15:40:00	60	360	1	0	218.000000	218.000000	218.000000	218.000000	2000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
267395	BNII	2024-12-05 15:42:00	60	120	1	0	216.000000	216.000000	216.000000	216.000000	10000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
267396	BNII	2024-12-05 15:44:00	60	120	1	0	216.000000	216.000000	216.000000	216.000000	9900	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
267397	BNII	2024-12-05 15:45:00	60	60	0	0	216.000000	216.000000	216.000000	216.000000	9900	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	-1	-1	-1
267398	BNII	2024-12-05 15:46:00	60	60	0	0	218.000000	218.000000	216.000000	216.000000	10100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	-1	-1	-1
267399	BNII	2024-12-05 16:08:00	60	1320	1	0	216.000000	216.000000	216.000000	216.000000	6100	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	-1
267400	BNII	2024-12-05 16:09:00	60	60	0	0	216.000000	216.000000	216.000000	216.000000	500	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	-1
267401	BNII	2024-12-05 16:13:00	60	240	1	0	216.000000	216.000000	216.000000	216.000000	500	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	-1
