source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
276336	BOAT	2024-12-05 09:00:00	60		0	0	252.000000	256.000000	242.000000	244.000000	1932100	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
276337	BOAT	2024-12-05 09:01:00	60	60	0	0	246.000000	252.000000	244.000000	248.000000	870900	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
276338	BOAT	2024-12-05 09:02:00	60	60	0	0	246.000000	248.000000	238.000000	238.000000	1300700	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
276339	BOAT	2024-12-05 09:03:00	60	60	0	0	238.000000	240.000000	234.000000	240.000000	1448300	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
276340	BOAT	2024-12-05 09:04:00	60	60	0	0	240.000000	246.000000	240.000000	246.000000	1155500	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
276341	BOAT	2024-12-05 09:05:00	60	60	0	0	246.000000	248.000000	242.000000	244.000000	940900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276342	BOAT	2024-12-05 09:06:00	60	60	0	0	242.000000	242.000000	238.000000	240.000000	948500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276343	BOAT	2024-12-05 09:07:00	60	60	0	0	240.000000	242.000000	238.000000	238.000000	916800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276344	BOAT	2024-12-05 09:08:00	60	60	0	0	238.000000	240.000000	236.000000	238.000000	429500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276345	BOAT	2024-12-05 09:09:00	60	60	0	0	238.000000	238.000000	236.000000	238.000000	1043400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276346	BOAT	2024-12-05 09:10:00	60	60	0	0	236.000000	238.000000	236.000000	238.000000	676400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276347	BOAT	2024-12-05 09:11:00	60	60	0	0	238.000000	240.000000	238.000000	240.000000	112800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276348	BOAT	2024-12-05 09:12:00	60	60	0	0	238.000000	242.000000	238.000000	242.000000	681600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276349	BOAT	2024-12-05 09:13:00	60	60	0	0	242.000000	244.000000	242.000000	244.000000	274900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276350	BOAT	2024-12-05 09:14:00	60	60	0	0	244.000000	244.000000	240.000000	240.000000	522200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276351	BOAT	2024-12-05 09:15:00	60	60	0	0	242.000000	242.000000	240.000000	242.000000	222100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276352	BOAT	2024-12-05 09:16:00	60	60	0	0	242.000000	242.000000	240.000000	240.000000	246200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276353	BOAT	2024-12-05 09:17:00	60	60	0	0	240.000000	242.000000	238.000000	238.000000	1393000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276354	BOAT	2024-12-05 09:18:00	60	60	0	0	238.000000	238.000000	236.000000	238.000000	688000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276355	BOAT	2024-12-05 09:19:00	60	60	0	0	238.000000	240.000000	238.000000	238.000000	795900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276356	BOAT	2024-12-05 09:20:00	60	60	0	0	240.000000	240.000000	238.000000	240.000000	252200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276357	BOAT	2024-12-05 09:21:00	60	60	0	0	240.000000	240.000000	238.000000	238.000000	152900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276358	BOAT	2024-12-05 09:22:00	60	60	0	0	238.000000	240.000000	238.000000	238.000000	29600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
276359	BOAT	2024-12-05 09:23:00	60	60	0	0	240.000000	240.000000	238.000000	238.000000	17900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
