source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
274381	BOBA	2024-12-05 09:00:00	60		0	0	170.000000	170.000000	170.000000	170.000000	200	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
274382	BOBA	2024-12-05 09:04:00	60	240	1	0	170.000000	170.000000	170.000000	170.000000	100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
274383	BOBA	2024-12-05 09:15:00	60	660	1	0	170.000000	170.000000	170.000000	170.000000	1200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274384	BOBA	2024-12-05 09:32:00	60	1020	1	0	168.000000	168.000000	167.000000	167.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274385	BOBA	2024-12-05 09:33:00	60	60	0	0	169.000000	169.000000	169.000000	169.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274386	BOBA	2024-12-05 09:48:00	60	900	1	0	168.000000	168.000000	168.000000	168.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274387	BOBA	2024-12-05 09:53:00	60	300	1	0	168.000000	168.000000	168.000000	168.000000	1800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274388	BOBA	2024-12-05 09:54:00	60	60	0	0	167.000000	167.000000	167.000000	167.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274389	BOBA	2024-12-05 09:58:00	60	240	1	0	168.000000	168.000000	168.000000	168.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274390	BOBA	2024-12-05 10:04:00	60	360	1	0	168.000000	168.000000	168.000000	168.000000	2200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274391	BOBA	2024-12-05 10:06:00	60	120	1	0	168.000000	168.000000	168.000000	168.000000	5000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274392	BOBA	2024-12-05 10:07:00	60	60	0	0	168.000000	168.000000	168.000000	168.000000	4000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274393	BOBA	2024-12-05 10:10:00	60	180	1	0	168.000000	168.000000	168.000000	168.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274394	BOBA	2024-12-05 10:27:00	60	1020	1	0	169.000000	174.000000	169.000000	174.000000	37100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274395	BOBA	2024-12-05 10:28:00	60	60	0	0	174.000000	175.000000	174.000000	175.000000	73000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274396	BOBA	2024-12-05 10:29:00	60	60	0	0	174.000000	174.000000	174.000000	174.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
274397	BOBA	2024-12-05 10:33:00	60	240	1	0	172.000000	173.000000	172.000000	173.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
