source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
275066	BOGA	2024-12-05 09:00:00	60		0	0	520.000000	520.000000	520.000000	520.000000	4600	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
275067	BOGA	2024-12-05 10:34:00	60	5640	1	0	515.000000	515.000000	515.000000	515.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
275068	BOGA	2024-12-05 10:45:00	60	660	1	0	515.000000	515.000000	515.000000	515.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
275069	BOGA	2024-12-05 11:12:00	60	1620	1	0	515.000000	515.000000	515.000000	515.000000	4500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
275070	BOGA	2024-12-05 11:48:00	60	2160	1	0	515.000000	515.000000	515.000000	515.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
275071	BOGA	2024-12-05 11:49:00	60	60	0	0	520.000000	520.000000	520.000000	520.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
275072	BOGA	2024-12-05 13:43:00	60	6840	1	0	515.000000	515.000000	515.000000	515.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
275073	BOGA	2024-12-05 13:59:00	60	960	1	0	515.000000	515.000000	515.000000	515.000000	5000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
275074	BOGA	2024-12-05 14:16:00	60	1020	1	0	515.000000	515.000000	515.000000	515.000000	2000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
275075	BOGA	2024-12-05 15:01:00	60	2700	1	0	515.000000	515.000000	515.000000	515.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
275076	BOGA	2024-12-05 15:49:00	60	2880	1	0	515.000000	515.000000	515.000000	515.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	-1	-1	-1
275077	BOGA	2024-12-05 16:00:00	60	660	1	0	515.000000	515.000000	515.000000	515.000000	100	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
