source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
281044	BOLA	2024-12-05 09:00:00	60		0	0	100.000000	100.000000	100.000000	100.000000	1200	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
281045	BOLA	2024-12-05 09:02:00	60	120	1	0	100.000000	100.000000	100.000000	100.000000	8800	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
281046	BOLA	2024-12-05 09:03:00	60	60	0	0	100.000000	100.000000	100.000000	100.000000	100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
281047	BOLA	2024-12-05 09:08:00	60	300	1	0	100.000000	100.000000	100.000000	100.000000	1500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281048	BOLA	2024-12-05 09:10:00	60	120	1	0	101.000000	101.000000	100.000000	100.000000	17800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281049	BOLA	2024-12-05 09:11:00	60	60	0	0	100.000000	100.000000	100.000000	100.000000	8600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281050	BOLA	2024-12-05 09:19:00	60	480	1	0	99.000000	99.000000	99.000000	99.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281051	BOLA	2024-12-05 09:20:00	60	60	0	0	99.000000	99.000000	98.000000	98.000000	2300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281052	BOLA	2024-12-05 09:43:00	60	1380	1	0	99.000000	99.000000	99.000000	99.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281053	BOLA	2024-12-05 09:45:00	60	120	1	0	100.000000	101.000000	100.000000	101.000000	94400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281054	BOLA	2024-12-05 09:46:00	60	60	0	0	101.000000	101.000000	100.000000	100.000000	1200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281055	BOLA	2024-12-05 09:48:00	60	120	1	0	100.000000	100.000000	100.000000	100.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281056	BOLA	2024-12-05 09:49:00	60	60	0	0	100.000000	100.000000	100.000000	100.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281057	BOLA	2024-12-05 09:51:00	60	120	1	0	100.000000	100.000000	100.000000	100.000000	1900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281058	BOLA	2024-12-05 09:52:00	60	60	0	0	101.000000	101.000000	101.000000	101.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
