source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
282580	BOLT	2024-12-05 09:00:00	60		0	0	1220.000000	1220.000000	1220.000000	1220.000000	1300	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
282581	BOLT	2024-12-05 09:01:00	60	60	0	0	1220.000000	1220.000000	1210.000000	1210.000000	75100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
282582	BOLT	2024-12-05 09:02:00	60	60	0	0	1210.000000	1210.000000	1200.000000	1210.000000	44900	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
282583	BOLT	2024-12-05 09:03:00	60	60	0	0	1210.000000	1210.000000	1210.000000	1210.000000	1700	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
282584	BOLT	2024-12-05 09:04:00	60	60	0	0	1210.000000	1210.000000	1210.000000	1210.000000	500	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
282585	BOLT	2024-12-05 09:05:00	60	60	0	0	1210.000000	1210.000000	1210.000000	1210.000000	1300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
282586	BOLT	2024-12-05 09:06:00	60	60	0	0	1210.000000	1210.000000	1210.000000	1210.000000	1200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
282587	BOLT	2024-12-05 09:07:00	60	60	0	0	1210.000000	1210.000000	1210.000000	1210.000000	6700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
282588	BOLT	2024-12-05 09:08:00	60	60	0	0	1210.000000	1210.000000	1210.000000	1210.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
282589	BOLT	2024-12-05 09:09:00	60	60	0	0	1210.000000	1210.000000	1210.000000	1210.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
