source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
281520	BPFI	2024-12-05 09:00:00	60		0	0	304.000000	304.000000	304.000000	304.000000	5000	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
281521	BPFI	2024-12-05 09:25:00	60	1500	1	0	300.000000	300.000000	300.000000	300.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281522	BPFI	2024-12-05 10:10:00	60	2700	1	0	304.000000	304.000000	304.000000	304.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281523	BPFI	2024-12-05 10:21:00	60	660	1	0	302.000000	302.000000	302.000000	302.000000	2800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
281524	BPFI	2024-12-05 11:59:00	60	5880	1	0	304.000000	304.000000	304.000000	304.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1
281525	BPFI	2024-12-05 13:30:00	60	5460	1	0	304.000000	304.000000	304.000000	304.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
281526	BPFI	2024-12-05 14:08:00	60	2280	1	0	304.000000	304.000000	304.000000	304.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
281527	BPFI	2024-12-05 14:17:00	60	540	1	0	302.000000	302.000000	302.000000	302.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
281528	BPFI	2024-12-05 14:18:00	60	60	0	0	300.000000	300.000000	300.000000	300.000000	8500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
281529	BPFI	2024-12-05 14:50:00	60	1920	1	0	298.000000	298.000000	298.000000	298.000000	14400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
281530	BPFI	2024-12-05 15:15:00	60	1500	1	0	302.000000	302.000000	302.000000	302.000000	400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
281531	BPFI	2024-12-05 16:00:00	60	2700	1	0	304.000000	304.000000	304.000000	304.000000	100	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
