source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
286907	BPTR	2024-12-05 09:00:00	60		0	0	93.000000	93.000000	93.000000	93.000000	100	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
286908	BPTR	2024-12-05 09:01:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	5000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
286909	BPTR	2024-12-05 09:08:00	60	420	1	0	87.000000	87.000000	87.000000	87.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286910	BPTR	2024-12-05 09:17:00	60	540	1	0	85.000000	87.000000	85.000000	87.000000	2100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286911	BPTR	2024-12-05 09:40:00	60	1380	1	0	85.000000	87.000000	85.000000	87.000000	20100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286912	BPTR	2024-12-05 09:53:00	60	780	1	0	84.000000	86.000000	84.000000	86.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286913	BPTR	2024-12-05 10:12:00	60	1140	1	0	84.000000	84.000000	84.000000	84.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286914	BPTR	2024-12-05 10:13:00	60	60	0	0	86.000000	86.000000	86.000000	86.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286915	BPTR	2024-12-05 10:34:00	60	1260	1	0	84.000000	84.000000	84.000000	84.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286916	BPTR	2024-12-05 10:35:00	60	60	0	0	85.000000	85.000000	85.000000	85.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286917	BPTR	2024-12-05 11:10:00	60	2100	1	0	85.000000	85.000000	85.000000	85.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286918	BPTR	2024-12-05 11:15:00	60	300	1	0	85.000000	86.000000	85.000000	86.000000	25000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286919	BPTR	2024-12-05 11:17:00	60	120	1	0	87.000000	87.000000	87.000000	87.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286920	BPTR	2024-12-05 11:19:00	60	120	1	0	86.000000	87.000000	86.000000	87.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286921	BPTR	2024-12-05 11:23:00	60	240	1	0	86.000000	86.000000	86.000000	86.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286922	BPTR	2024-12-05 11:24:00	60	60	0	0	87.000000	87.000000	87.000000	87.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286923	BPTR	2024-12-05 11:27:00	60	180	1	0	87.000000	88.000000	87.000000	88.000000	26700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286924	BPTR	2024-12-05 11:28:00	60	60	0	0	87.000000	88.000000	87.000000	88.000000	1500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286925	BPTR	2024-12-05 11:30:00	60	120	1	0	87.000000	87.000000	87.000000	87.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286926	BPTR	2024-12-05 11:31:00	60	60	0	0	86.000000	86.000000	86.000000	86.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286927	BPTR	2024-12-05 11:34:00	60	180	1	0	86.000000	86.000000	86.000000	86.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286928	BPTR	2024-12-05 11:36:00	60	120	1	0	87.000000	87.000000	87.000000	87.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286929	BPTR	2024-12-05 11:39:00	60	180	1	0	86.000000	86.000000	86.000000	86.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286930	BPTR	2024-12-05 11:42:00	60	180	1	0	86.000000	86.000000	86.000000	86.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286931	BPTR	2024-12-05 11:45:00	60	180	1	0	87.000000	88.000000	87.000000	88.000000	30200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286932	BPTR	2024-12-05 11:49:00	60	240	1	0	87.000000	90.000000	87.000000	90.000000	98500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286933	BPTR	2024-12-05 11:50:00	60	60	0	0	90.000000	91.000000	90.000000	91.000000	3700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
286934	BPTR	2024-12-05 11:55:00	60	300	1	0	88.000000	88.000000	88.000000	88.000000	22000	20	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1
286935	BPTR	2024-12-05 11:57:00	60	120	1	0	87.000000	87.000000	87.000000	87.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1
286936	BPTR	2024-12-05 11:59:00	60	120	1	0	89.000000	89.000000	89.000000	89.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1
286937	BPTR	2024-12-05 13:30:00	60	5460	1	0	87.000000	87.000000	87.000000	87.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
286938	BPTR	2024-12-05 13:36:00	60	360	1	0	87.000000	88.000000	87.000000	88.000000	1100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
286939	BPTR	2024-12-05 13:42:00	60	360	1	0	87.000000	89.000000	87.000000	89.000000	4600	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
286940	BPTR	2024-12-05 13:46:00	60	240	1	0	88.000000	88.000000	81.000000	81.000000	138800	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
286941	BPTR	2024-12-05 13:47:00	60	60	0	0	84.000000	84.000000	81.000000	84.000000	1700	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
286942	BPTR	2024-12-05 13:48:00	60	60	0	0	85.000000	85.000000	83.000000	83.000000	1600	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
