source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
288267	BREN	2024-12-05 09:00:00	60		0	0	7500.000000	7600.000000	7500.000000	7600.000000	672800	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
288268	BREN	2024-12-05 09:01:00	60	60	0	0	7600.000000	7625.000000	7550.000000	7575.000000	469200	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
288269	BREN	2024-12-05 09:02:00	60	60	0	0	7550.000000	7600.000000	7550.000000	7550.000000	259200	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
288270	BREN	2024-12-05 09:03:00	60	60	0	0	7575.000000	7575.000000	7550.000000	7575.000000	204300	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
288271	BREN	2024-12-05 09:04:00	60	60	0	0	7575.000000	7600.000000	7575.000000	7575.000000	319400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
288272	BREN	2024-12-05 09:05:00	60	60	0	0	7575.000000	7650.000000	7575.000000	7650.000000	664800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288273	BREN	2024-12-05 09:06:00	60	60	0	0	7650.000000	7675.000000	7625.000000	7625.000000	417900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288274	BREN	2024-12-05 09:07:00	60	60	0	0	7650.000000	7675.000000	7625.000000	7650.000000	271200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288275	BREN	2024-12-05 09:08:00	60	60	0	0	7650.000000	7650.000000	7625.000000	7650.000000	174700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288276	BREN	2024-12-05 09:09:00	60	60	0	0	7650.000000	7650.000000	7625.000000	7650.000000	313200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288277	BREN	2024-12-05 09:10:00	60	60	0	0	7675.000000	7675.000000	7600.000000	7625.000000	334400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288278	BREN	2024-12-05 09:11:00	60	60	0	0	7625.000000	7625.000000	7575.000000	7575.000000	298400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288279	BREN	2024-12-05 09:12:00	60	60	0	0	7575.000000	7575.000000	7525.000000	7525.000000	305700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288280	BREN	2024-12-05 09:13:00	60	60	0	0	7550.000000	7550.000000	7500.000000	7500.000000	388800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288281	BREN	2024-12-05 09:14:00	60	60	0	0	7500.000000	7525.000000	7375.000000	7375.000000	894900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288282	BREN	2024-12-05 09:15:00	60	60	0	0	7375.000000	7425.000000	7375.000000	7400.000000	584900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288283	BREN	2024-12-05 09:16:00	60	60	0	0	7375.000000	7400.000000	7300.000000	7325.000000	575200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288284	BREN	2024-12-05 09:17:00	60	60	0	0	7325.000000	7450.000000	7300.000000	7450.000000	430900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288285	BREN	2024-12-05 09:18:00	60	60	0	0	7450.000000	7500.000000	7425.000000	7500.000000	570400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288286	BREN	2024-12-05 09:19:00	60	60	0	0	7500.000000	7550.000000	7500.000000	7550.000000	446100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288287	BREN	2024-12-05 09:20:00	60	60	0	0	7525.000000	7600.000000	7525.000000	7575.000000	541400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288288	BREN	2024-12-05 09:21:00	60	60	0	0	7550.000000	7550.000000	7525.000000	7525.000000	95400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288289	BREN	2024-12-05 09:22:00	60	60	0	0	7525.000000	7525.000000	7500.000000	7500.000000	23900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288290	BREN	2024-12-05 09:23:00	60	60	0	0	7500.000000	7525.000000	7475.000000	7475.000000	126000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288291	BREN	2024-12-05 09:24:00	60	60	0	0	7500.000000	7500.000000	7450.000000	7475.000000	229200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288292	BREN	2024-12-05 09:25:00	60	60	0	0	7500.000000	7500.000000	7450.000000	7450.000000	71600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288293	BREN	2024-12-05 09:26:00	60	60	0	0	7450.000000	7475.000000	7450.000000	7450.000000	131100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288294	BREN	2024-12-05 09:27:00	60	60	0	0	7450.000000	7475.000000	7425.000000	7425.000000	95000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288295	BREN	2024-12-05 09:28:00	60	60	0	0	7425.000000	7450.000000	7400.000000	7400.000000	171100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288296	BREN	2024-12-05 09:29:00	60	60	0	0	7400.000000	7425.000000	7400.000000	7400.000000	349300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288297	BREN	2024-12-05 09:30:00	60	60	0	0	7400.000000	7425.000000	7400.000000	7425.000000	80100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288298	BREN	2024-12-05 09:31:00	60	60	0	0	7425.000000	7425.000000	7375.000000	7400.000000	126400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288299	BREN	2024-12-05 09:32:00	60	60	0	0	7400.000000	7425.000000	7400.000000	7425.000000	53100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288300	BREN	2024-12-05 09:33:00	60	60	0	0	7400.000000	7425.000000	7400.000000	7425.000000	109800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288301	BREN	2024-12-05 09:34:00	60	60	0	0	7425.000000	7500.000000	7425.000000	7500.000000	457900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288302	BREN	2024-12-05 09:35:00	60	60	0	0	7500.000000	7525.000000	7500.000000	7525.000000	93100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288303	BREN	2024-12-05 09:36:00	60	60	0	0	7525.000000	7525.000000	7475.000000	7500.000000	74900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288304	BREN	2024-12-05 09:37:00	60	60	0	0	7500.000000	7525.000000	7500.000000	7525.000000	70900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288305	BREN	2024-12-05 09:38:00	60	60	0	0	7525.000000	7525.000000	7500.000000	7500.000000	14600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288306	BREN	2024-12-05 09:39:00	60	60	0	0	7525.000000	7525.000000	7500.000000	7500.000000	120600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288307	BREN	2024-12-05 09:40:00	60	60	0	0	7500.000000	7500.000000	7475.000000	7475.000000	73900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288308	BREN	2024-12-05 09:41:00	60	60	0	0	7500.000000	7500.000000	7475.000000	7475.000000	78200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288309	BREN	2024-12-05 09:42:00	60	60	0	0	7450.000000	7475.000000	7425.000000	7425.000000	74800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288310	BREN	2024-12-05 09:43:00	60	60	0	0	7425.000000	7475.000000	7425.000000	7450.000000	14600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288311	BREN	2024-12-05 09:44:00	60	60	0	0	7450.000000	7475.000000	7450.000000	7450.000000	6100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288312	BREN	2024-12-05 09:45:00	60	60	0	0	7450.000000	7475.000000	7450.000000	7450.000000	35100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288313	BREN	2024-12-05 09:46:00	60	60	0	0	7450.000000	7475.000000	7450.000000	7450.000000	13800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288314	BREN	2024-12-05 09:47:00	60	60	0	0	7450.000000	7475.000000	7450.000000	7475.000000	47700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288315	BREN	2024-12-05 09:48:00	60	60	0	0	7475.000000	7500.000000	7475.000000	7500.000000	4500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288316	BREN	2024-12-05 09:49:00	60	60	0	0	7500.000000	7500.000000	7450.000000	7475.000000	90600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288317	BREN	2024-12-05 09:50:00	60	60	0	0	7450.000000	7475.000000	7450.000000	7475.000000	14800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288318	BREN	2024-12-05 09:51:00	60	60	0	0	7475.000000	7525.000000	7475.000000	7525.000000	179900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288319	BREN	2024-12-05 09:52:00	60	60	0	0	7525.000000	7525.000000	7500.000000	7500.000000	175600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288320	BREN	2024-12-05 09:53:00	60	60	0	0	7475.000000	7525.000000	7475.000000	7525.000000	74800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288321	BREN	2024-12-05 09:54:00	60	60	0	0	7475.000000	7525.000000	7475.000000	7525.000000	15100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288322	BREN	2024-12-05 09:55:00	60	60	0	0	7500.000000	7525.000000	7500.000000	7500.000000	20800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
288323	BREN	2024-12-05 09:56:00	60	60	0	0	7525.000000	7525.000000	7475.000000	7475.000000	23000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
