source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
294330	BRIS	2024-12-05 08:59:00	60		0	0	2990.000000	2990.000000	2990.000000	2990.000000	216000	11	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	-1	-1
294331	BRIS	2024-12-05 09:00:00	60	60	0	0	2990.000000	2990.000000	2980.000000	2990.000000	240500	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
294332	BRIS	2024-12-05 09:01:00	60	60	0	0	2980.000000	2990.000000	2980.000000	2980.000000	53000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
294333	BRIS	2024-12-05 09:02:00	60	60	0	0	2980.000000	2990.000000	2980.000000	2980.000000	16200	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
294334	BRIS	2024-12-05 09:03:00	60	60	0	0	2980.000000	2990.000000	2970.000000	2980.000000	150000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
294335	BRIS	2024-12-05 09:04:00	60	60	0	0	2980.000000	2980.000000	2970.000000	2970.000000	11500	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
294336	BRIS	2024-12-05 09:05:00	60	60	0	0	2970.000000	2990.000000	2970.000000	2980.000000	275000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
294337	BRIS	2024-12-05 09:06:00	60	60	0	0	2980.000000	2990.000000	2980.000000	2990.000000	28900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
294338	BRIS	2024-12-05 09:07:00	60	60	0	0	2990.000000	2990.000000	2980.000000	2990.000000	6300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
294339	BRIS	2024-12-05 09:08:00	60	60	0	0	2990.000000	2990.000000	2980.000000	2980.000000	259000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
294340	BRIS	2024-12-05 09:09:00	60	60	0	0	2980.000000	2990.000000	2970.000000	2980.000000	400300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
294341	BRIS	2024-12-05 09:10:00	60	60	0	0	2980.000000	2980.000000	2960.000000	2960.000000	143700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
294342	BRIS	2024-12-05 09:11:00	60	60	0	0	2960.000000	2970.000000	2960.000000	2960.000000	15700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
294343	BRIS	2024-12-05 09:12:00	60	60	0	0	2960.000000	2970.000000	2960.000000	2970.000000	10600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
