source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
300491	BRMS	2024-12-05 09:00:00	60		0	0	416.000000	426.000000	414.000000	416.000000	6371800	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
300492	BRMS	2024-12-05 09:01:00	60	60	0	0	416.000000	418.000000	414.000000	416.000000	2552300	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
300493	BRMS	2024-12-05 09:02:00	60	60	0	0	416.000000	418.000000	414.000000	416.000000	1322900	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
300494	BRMS	2024-12-05 09:03:00	60	60	0	0	416.000000	416.000000	412.000000	414.000000	2717700	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
300495	BRMS	2024-12-05 09:04:00	60	60	0	0	414.000000	416.000000	412.000000	412.000000	1667300	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
300496	BRMS	2024-12-05 09:05:00	60	60	0	0	414.000000	414.000000	412.000000	412.000000	1020000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300497	BRMS	2024-12-05 09:06:00	60	60	0	0	412.000000	414.000000	410.000000	410.000000	2842500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300498	BRMS	2024-12-05 09:07:00	60	60	0	0	410.000000	414.000000	410.000000	414.000000	4966000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300499	BRMS	2024-12-05 09:08:00	60	60	0	0	414.000000	414.000000	412.000000	414.000000	805800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300500	BRMS	2024-12-05 09:09:00	60	60	0	0	414.000000	414.000000	412.000000	412.000000	4389300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300501	BRMS	2024-12-05 09:10:00	60	60	0	0	412.000000	414.000000	410.000000	412.000000	4983400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300502	BRMS	2024-12-05 09:11:00	60	60	0	0	412.000000	412.000000	410.000000	412.000000	535000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300503	BRMS	2024-12-05 09:12:00	60	60	0	0	412.000000	412.000000	410.000000	410.000000	1852900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300504	BRMS	2024-12-05 09:13:00	60	60	0	0	410.000000	412.000000	410.000000	410.000000	793600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300505	BRMS	2024-12-05 09:14:00	60	60	0	0	412.000000	412.000000	410.000000	412.000000	690800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300506	BRMS	2024-12-05 09:15:00	60	60	0	0	412.000000	412.000000	410.000000	412.000000	425800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300507	BRMS	2024-12-05 09:16:00	60	60	0	0	410.000000	412.000000	410.000000	410.000000	186600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300508	BRMS	2024-12-05 09:17:00	60	60	0	0	412.000000	412.000000	410.000000	412.000000	3946800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300509	BRMS	2024-12-05 09:18:00	60	60	0	0	412.000000	414.000000	412.000000	414.000000	511500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300510	BRMS	2024-12-05 09:19:00	60	60	0	0	414.000000	414.000000	412.000000	414.000000	801700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300511	BRMS	2024-12-05 09:20:00	60	60	0	0	414.000000	414.000000	412.000000	414.000000	704800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300512	BRMS	2024-12-05 09:21:00	60	60	0	0	414.000000	414.000000	412.000000	414.000000	707000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
300513	BRMS	2024-12-05 09:22:00	60	60	0	0	414.000000	414.000000	412.000000	412.000000	112500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
