source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
306597	BRPT	2024-12-05 08:59:00	60		0	0	930.000000	930.000000	930.000000	930.000000	1009800	11	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	-1	-1
306598	BRPT	2024-12-05 09:00:00	60	60	0	0	935.000000	935.000000	925.000000	930.000000	1549700	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
306599	BRPT	2024-12-05 09:01:00	60	60	0	0	925.000000	930.000000	925.000000	930.000000	1229700	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
306600	BRPT	2024-12-05 09:02:00	60	60	0	0	930.000000	935.000000	930.000000	935.000000	427100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
306601	BRPT	2024-12-05 09:03:00	60	60	0	0	935.000000	935.000000	930.000000	930.000000	1288800	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
306602	BRPT	2024-12-05 09:04:00	60	60	0	0	925.000000	935.000000	915.000000	925.000000	6272000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
306603	BRPT	2024-12-05 09:05:00	60	60	0	0	930.000000	930.000000	925.000000	930.000000	1601300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
306604	BRPT	2024-12-05 09:06:00	60	60	0	0	930.000000	935.000000	925.000000	930.000000	501000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
306605	BRPT	2024-12-05 09:07:00	60	60	0	0	935.000000	935.000000	930.000000	930.000000	1119500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
306606	BRPT	2024-12-05 09:08:00	60	60	0	0	925.000000	930.000000	925.000000	930.000000	976300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
306607	BRPT	2024-12-05 09:09:00	60	60	0	0	930.000000	930.000000	925.000000	930.000000	691500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
306608	BRPT	2024-12-05 09:10:00	60	60	0	0	925.000000	935.000000	925.000000	930.000000	982400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
306609	BRPT	2024-12-05 09:11:00	60	60	0	0	930.000000	930.000000	925.000000	930.000000	64500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
306610	BRPT	2024-12-05 09:12:00	60	60	0	0	930.000000	930.000000	920.000000	925.000000	1438500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
