source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
315746	BSDE	2024-12-05 09:00:00	60		0	0	1015.000000	1015.000000	1005.000000	1005.000000	5900	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
315747	BSDE	2024-12-05 09:01:00	60	60	0	0	1015.000000	1015.000000	1015.000000	1015.000000	2600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
315748	BSDE	2024-12-05 09:02:00	60	60	0	0	1015.000000	1015.000000	1005.000000	1010.000000	281000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
315749	BSDE	2024-12-05 09:03:00	60	60	0	0	1010.000000	1010.000000	1000.000000	1000.000000	31100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
315750	BSDE	2024-12-05 09:04:00	60	60	0	0	1000.000000	1005.000000	1000.000000	1000.000000	5100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
315751	BSDE	2024-12-05 09:05:00	60	60	0	0	1000.000000	1005.000000	1000.000000	1005.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315752	BSDE	2024-12-05 09:06:00	60	60	0	0	1005.000000	1005.000000	1005.000000	1005.000000	55200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315753	BSDE	2024-12-05 09:07:00	60	60	0	0	1005.000000	1005.000000	1000.000000	1005.000000	10700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315754	BSDE	2024-12-05 09:08:00	60	60	0	0	1005.000000	1005.000000	1005.000000	1005.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315755	BSDE	2024-12-05 09:09:00	60	60	0	0	1005.000000	1010.000000	1005.000000	1010.000000	65100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315756	BSDE	2024-12-05 09:10:00	60	60	0	0	1010.000000	1010.000000	1005.000000	1010.000000	61700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315757	BSDE	2024-12-05 09:11:00	60	60	0	0	1010.000000	1010.000000	1010.000000	1010.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315758	BSDE	2024-12-05 09:12:00	60	60	0	0	1010.000000	1010.000000	1010.000000	1010.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315759	BSDE	2024-12-05 09:14:00	60	120	1	0	1010.000000	1010.000000	1010.000000	1010.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315760	BSDE	2024-12-05 09:15:00	60	60	0	0	1010.000000	1010.000000	1010.000000	1010.000000	8500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315761	BSDE	2024-12-05 09:16:00	60	60	0	0	1010.000000	1010.000000	1005.000000	1005.000000	37300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315762	BSDE	2024-12-05 09:17:00	60	60	0	0	1000.000000	1000.000000	1000.000000	1000.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315763	BSDE	2024-12-05 09:18:00	60	60	0	0	1000.000000	1005.000000	1000.000000	1000.000000	80000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315764	BSDE	2024-12-05 09:19:00	60	60	0	0	1005.000000	1005.000000	1000.000000	1000.000000	8100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315765	BSDE	2024-12-05 09:20:00	60	60	0	0	1000.000000	1000.000000	1000.000000	1000.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315766	BSDE	2024-12-05 09:21:00	60	60	0	0	1005.000000	1010.000000	1005.000000	1010.000000	256100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315767	BSDE	2024-12-05 09:22:00	60	60	0	0	1010.000000	1010.000000	1010.000000	1010.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
315768	BSDE	2024-12-05 09:25:00	60	180	1	0	1010.000000	1010.000000	1010.000000	1010.000000	1700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
