source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
314453	BSIM	2024-12-05 09:00:00	60		0	0	775.000000	780.000000	775.000000	780.000000	300	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
314454	BSIM	2024-12-05 09:41:00	60	2460	1	0	765.000000	765.000000	765.000000	765.000000	4700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
314455	BSIM	2024-12-05 10:36:00	60	3300	1	0	725.000000	725.000000	725.000000	725.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
314456	BSIM	2024-12-05 10:37:00	60	60	0	0	730.000000	730.000000	730.000000	730.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
314457	BSIM	2024-12-05 10:40:00	60	180	1	0	765.000000	765.000000	765.000000	765.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
314458	BSIM	2024-12-05 13:38:00	60	10680	1	0	730.000000	730.000000	725.000000	725.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
314459	BSIM	2024-12-05 13:39:00	60	60	0	0	720.000000	720.000000	720.000000	720.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
314460	BSIM	2024-12-05 13:51:00	60	720	1	0	745.000000	745.000000	745.000000	745.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
314461	BSIM	2024-12-05 14:13:00	60	1320	1	0	725.000000	725.000000	725.000000	725.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
314462	BSIM	2024-12-05 14:32:00	60	1140	1	0	755.000000	755.000000	755.000000	755.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
314463	BSIM	2024-12-05 16:13:00	60	6060	1	0	755.000000	755.000000	755.000000	755.000000	300	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	-1
314464	BSIM	2024-12-05 16:14:00	60	60	0	0	755.000000	755.000000	755.000000	755.000000	1700	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	-1
