source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
320323	BSML	2024-12-05 09:00:00	60		0	0	120.000000	121.000000	120.000000	121.000000	2882400	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
320324	BSML	2024-12-05 09:01:00	60	60	0	0	121.000000	121.000000	120.000000	121.000000	214900	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
320325	BSML	2024-12-05 09:02:00	60	60	0	0	121.000000	121.000000	120.000000	120.000000	8316000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
320326	BSML	2024-12-05 09:03:00	60	60	0	0	121.000000	121.000000	121.000000	121.000000	2200	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
320327	BSML	2024-12-05 09:04:00	60	60	0	0	121.000000	121.000000	121.000000	121.000000	142000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
320328	BSML	2024-12-05 09:05:00	60	60	0	0	121.000000	121.000000	121.000000	121.000000	10800200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320329	BSML	2024-12-05 09:06:00	60	60	0	0	121.000000	121.000000	120.000000	121.000000	689900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320330	BSML	2024-12-05 09:07:00	60	60	0	0	120.000000	120.000000	120.000000	120.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320331	BSML	2024-12-05 09:08:00	60	60	0	0	121.000000	121.000000	120.000000	120.000000	206800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320332	BSML	2024-12-05 09:09:00	60	60	0	0	120.000000	120.000000	120.000000	120.000000	181000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320333	BSML	2024-12-05 09:10:00	60	60	0	0	119.000000	120.000000	119.000000	120.000000	16400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320334	BSML	2024-12-05 09:13:00	60	180	1	0	120.000000	120.000000	120.000000	120.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320335	BSML	2024-12-05 09:15:00	60	120	1	0	120.000000	120.000000	120.000000	120.000000	9500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320336	BSML	2024-12-05 09:16:00	60	60	0	0	120.000000	120.000000	120.000000	120.000000	8000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320337	BSML	2024-12-05 09:17:00	60	60	0	0	120.000000	120.000000	120.000000	120.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320338	BSML	2024-12-05 09:19:00	60	120	1	0	120.000000	120.000000	118.000000	118.000000	1468800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320339	BSML	2024-12-05 09:20:00	60	60	0	0	118.000000	118.000000	118.000000	118.000000	22900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320340	BSML	2024-12-05 09:22:00	60	120	1	0	118.000000	118.000000	118.000000	118.000000	13000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320341	BSML	2024-12-05 09:23:00	60	60	0	0	117.000000	117.000000	117.000000	117.000000	17200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320342	BSML	2024-12-05 09:24:00	60	60	0	0	117.000000	117.000000	117.000000	117.000000	12800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320343	BSML	2024-12-05 09:26:00	60	120	1	0	117.000000	117.000000	117.000000	117.000000	1100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
320344	BSML	2024-12-05 09:27:00	60	60	0	0	118.000000	119.000000	118.000000	118.000000	503700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
