source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
324039	BSSR	2024-12-05 09:00:00	60		0	0	4220.000000	4240.000000	4220.000000	4240.000000	4400	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
324040	BSSR	2024-12-05 09:01:00	60	60	0	0	4230.000000	4250.000000	4230.000000	4250.000000	5000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
324041	BSSR	2024-12-05 09:02:00	60	60	0	0	4250.000000	4250.000000	4250.000000	4250.000000	2500	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
324042	BSSR	2024-12-05 09:03:00	60	60	0	0	4260.000000	4270.000000	4260.000000	4270.000000	3600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
324043	BSSR	2024-12-05 09:04:00	60	60	0	0	4260.000000	4260.000000	4260.000000	4260.000000	600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
324044	BSSR	2024-12-05 09:05:00	60	60	0	0	4260.000000	4260.000000	4250.000000	4250.000000	2900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
324045	BSSR	2024-12-05 09:06:00	60	60	0	0	4250.000000	4250.000000	4250.000000	4250.000000	2400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
324046	BSSR	2024-12-05 09:07:00	60	60	0	0	4250.000000	4250.000000	4230.000000	4250.000000	10800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
324047	BSSR	2024-12-05 09:08:00	60	60	0	0	4250.000000	4250.000000	4250.000000	4250.000000	3200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
324048	BSSR	2024-12-05 09:09:00	60	60	0	0	4250.000000	4250.000000	4250.000000	4250.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
324049	BSSR	2024-12-05 09:10:00	60	60	0	0	4240.000000	4240.000000	4240.000000	4240.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
