source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
322984	BTON	2024-12-05 09:19:00	60		0	0	422.000000	422.000000	422.000000	422.000000	100	20	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
322985	BTON	2024-12-05 09:33:00	60	840	1	0	420.000000	420.000000	420.000000	420.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
322986	BTON	2024-12-05 09:37:00	60	240	1	0	416.000000	416.000000	416.000000	416.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
322987	BTON	2024-12-05 10:13:00	60	2160	1	0	390.000000	390.000000	390.000000	390.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
322988	BTON	2024-12-05 10:21:00	60	480	1	0	394.000000	394.000000	394.000000	394.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
322989	BTON	2024-12-05 10:33:00	60	720	1	0	406.000000	406.000000	406.000000	406.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
322990	BTON	2024-12-05 10:51:00	60	1080	1	0	406.000000	406.000000	406.000000	406.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
322991	BTON	2024-12-05 11:10:00	60	1140	1	0	406.000000	406.000000	406.000000	406.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
322992	BTON	2024-12-05 13:48:00	60	9480	1	0	414.000000	414.000000	406.000000	406.000000	600	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
322993	BTON	2024-12-05 15:29:00	60	6060	1	0	416.000000	416.000000	416.000000	416.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
