source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
323177	BTPN	2024-12-05 09:00:00	60		0	0	2310.000000	2320.000000	2310.000000	2320.000000	2800	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
323178	BTPN	2024-12-05 09:01:00	60	60	0	0	2290.000000	2290.000000	2290.000000	2290.000000	2400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
323179	BTPN	2024-12-05 09:07:00	60	360	1	0	2280.000000	2280.000000	2280.000000	2280.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
323180	BTPN	2024-12-05 09:23:00	60	960	1	0	2280.000000	2280.000000	2280.000000	2280.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
323181	BTPN	2024-12-05 09:32:00	60	540	1	0	2250.000000	2250.000000	2250.000000	2250.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
323182	BTPN	2024-12-05 09:37:00	60	300	1	0	2250.000000	2250.000000	2250.000000	2250.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
323183	BTPN	2024-12-05 09:46:00	60	540	1	0	2240.000000	2240.000000	2230.000000	2230.000000	4100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
323184	BTPN	2024-12-05 10:28:00	60	2520	1	0	2230.000000	2230.000000	2210.000000	2210.000000	5100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
323185	BTPN	2024-12-05 10:41:00	60	780	1	0	2260.000000	2280.000000	2260.000000	2280.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
323186	BTPN	2024-12-05 11:33:00	60	3120	1	0	2250.000000	2250.000000	2220.000000	2220.000000	2400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
323187	BTPN	2024-12-05 11:35:00	60	120	1	0	2290.000000	2290.000000	2290.000000	2290.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
323188	BTPN	2024-12-05 11:38:00	60	180	1	0	2210.000000	2210.000000	2200.000000	2200.000000	66600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
323189	BTPN	2024-12-05 11:43:00	60	300	1	0	2210.000000	2210.000000	2200.000000	2200.000000	37600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
323190	BTPN	2024-12-05 13:30:00	60	6420	1	0	2250.000000	2250.000000	2250.000000	2250.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
323191	BTPN	2024-12-05 13:38:00	60	480	1	0	2250.000000	2250.000000	2250.000000	2250.000000	1000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
323192	BTPN	2024-12-05 13:57:00	60	1140	1	0	2250.000000	2250.000000	2250.000000	2250.000000	800	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
323193	BTPN	2024-12-05 13:58:00	60	60	0	0	2220.000000	2220.000000	2210.000000	2210.000000	1400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
323194	BTPN	2024-12-05 14:08:00	60	600	1	0	2240.000000	2240.000000	2240.000000	2240.000000	1100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
323195	BTPN	2024-12-05 14:40:00	60	1920	1	0	2210.000000	2210.000000	2210.000000	2210.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
323196	BTPN	2024-12-05 14:42:00	60	120	1	0	2210.000000	2210.000000	2210.000000	2210.000000	700	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
323197	BTPN	2024-12-05 14:58:00	60	960	1	0	2230.000000	2230.000000	2230.000000	2230.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
323198	BTPN	2024-12-05 14:59:00	60	60	0	0	2220.000000	2220.000000	2210.000000	2210.000000	1200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
323199	BTPN	2024-12-05 15:31:00	60	1920	1	0	2220.000000	2220.000000	2210.000000	2210.000000	1500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
323200	BTPN	2024-12-05 15:42:00	60	660	1	0	2230.000000	2230.000000	2230.000000	2230.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
323201	BTPN	2024-12-05 16:00:00	60	1080	1	0	2220.000000	2220.000000	2220.000000	2220.000000	7500	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
323202	BTPN	2024-12-05 16:12:00	60	720	1	0	2220.000000	2220.000000	2220.000000	2220.000000	5000	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	-1
