source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
331056	BTPS	2024-12-05 09:00:00	60		0	0	900.000000	910.000000	900.000000	905.000000	32300	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
331057	BTPS	2024-12-05 09:01:00	60	60	0	0	905.000000	905.000000	905.000000	905.000000	1700	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
331058	BTPS	2024-12-05 09:02:00	60	60	0	0	905.000000	910.000000	905.000000	910.000000	36100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
331059	BTPS	2024-12-05 09:03:00	60	60	0	0	905.000000	910.000000	905.000000	910.000000	1600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
331060	BTPS	2024-12-05 09:04:00	60	60	0	0	910.000000	925.000000	905.000000	925.000000	1367400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
331061	BTPS	2024-12-05 09:05:00	60	60	0	0	925.000000	925.000000	920.000000	925.000000	1554600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331062	BTPS	2024-12-05 09:06:00	60	60	0	0	930.000000	930.000000	925.000000	930.000000	717600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331063	BTPS	2024-12-05 09:07:00	60	60	0	0	930.000000	930.000000	925.000000	925.000000	460100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331064	BTPS	2024-12-05 09:08:00	60	60	0	0	925.000000	925.000000	920.000000	925.000000	68500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331065	BTPS	2024-12-05 09:09:00	60	60	0	0	925.000000	925.000000	915.000000	915.000000	658600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331066	BTPS	2024-12-05 09:10:00	60	60	0	0	915.000000	920.000000	915.000000	920.000000	7800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331067	BTPS	2024-12-05 09:11:00	60	60	0	0	920.000000	920.000000	915.000000	915.000000	136800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331068	BTPS	2024-12-05 09:12:00	60	60	0	0	920.000000	920.000000	915.000000	920.000000	144400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331069	BTPS	2024-12-05 09:13:00	60	60	0	0	920.000000	920.000000	915.000000	920.000000	13800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331070	BTPS	2024-12-05 09:14:00	60	60	0	0	915.000000	920.000000	915.000000	920.000000	4800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331071	BTPS	2024-12-05 09:15:00	60	60	0	0	920.000000	920.000000	920.000000	920.000000	5400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331072	BTPS	2024-12-05 09:16:00	60	60	0	0	920.000000	920.000000	920.000000	920.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331073	BTPS	2024-12-05 09:17:00	60	60	0	0	920.000000	920.000000	915.000000	920.000000	44500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331074	BTPS	2024-12-05 09:18:00	60	60	0	0	920.000000	920.000000	915.000000	920.000000	57800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331075	BTPS	2024-12-05 09:19:00	60	60	0	0	920.000000	920.000000	920.000000	920.000000	40100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331076	BTPS	2024-12-05 09:20:00	60	60	0	0	920.000000	920.000000	915.000000	920.000000	30400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
331077	BTPS	2024-12-05 09:21:00	60	60	0	0	920.000000	920.000000	915.000000	920.000000	336700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
