source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
327650	BUAH	2024-12-05 09:00:00	60		0	0	1015.000000	1020.000000	1015.000000	1020.000000	2600	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
327651	BUAH	2024-12-05 09:01:00	60	60	0	0	1015.000000	1020.000000	1015.000000	1015.000000	1600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
327652	BUAH	2024-12-05 09:02:00	60	60	0	0	1020.000000	1020.000000	1015.000000	1015.000000	2600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
327653	BUAH	2024-12-05 09:03:00	60	60	0	0	1020.000000	1020.000000	1015.000000	1015.000000	3200	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
327654	BUAH	2024-12-05 09:04:00	60	60	0	0	1020.000000	1020.000000	1015.000000	1015.000000	2400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
327655	BUAH	2024-12-05 09:05:00	60	60	0	0	1020.000000	1020.000000	1015.000000	1020.000000	1200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327656	BUAH	2024-12-05 09:06:00	60	60	0	0	1015.000000	1020.000000	1015.000000	1020.000000	2200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327657	BUAH	2024-12-05 09:07:00	60	60	0	0	1015.000000	1020.000000	1015.000000	1015.000000	2200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327658	BUAH	2024-12-05 09:08:00	60	60	0	0	1020.000000	1020.000000	1015.000000	1015.000000	1200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327659	BUAH	2024-12-05 09:09:00	60	60	0	0	1020.000000	1020.000000	1015.000000	1015.000000	2600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327660	BUAH	2024-12-05 09:10:00	60	60	0	0	1020.000000	1020.000000	1015.000000	1020.000000	3400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327661	BUAH	2024-12-05 09:11:00	60	60	0	0	1015.000000	1020.000000	1015.000000	1020.000000	5400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327662	BUAH	2024-12-05 09:12:00	60	60	0	0	1015.000000	1020.000000	1015.000000	1015.000000	16600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327663	BUAH	2024-12-05 09:13:00	60	60	0	0	1020.000000	1020.000000	1015.000000	1020.000000	6800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327664	BUAH	2024-12-05 09:14:00	60	60	0	0	1015.000000	1025.000000	1015.000000	1020.000000	5400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327665	BUAH	2024-12-05 09:15:00	60	60	0	0	1025.000000	1025.000000	1020.000000	1025.000000	6600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327666	BUAH	2024-12-05 09:16:00	60	60	0	0	1020.000000	1025.000000	1020.000000	1020.000000	9000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327667	BUAH	2024-12-05 09:17:00	60	60	0	0	1025.000000	1025.000000	1020.000000	1020.000000	8000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327668	BUAH	2024-12-05 09:18:00	60	60	0	0	1025.000000	1025.000000	1020.000000	1020.000000	3400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327669	BUAH	2024-12-05 09:19:00	60	60	0	0	1025.000000	1025.000000	1020.000000	1020.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327670	BUAH	2024-12-05 09:20:00	60	60	0	0	1025.000000	1025.000000	1020.000000	1020.000000	11600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327671	BUAH	2024-12-05 09:21:00	60	60	0	0	1020.000000	1025.000000	1020.000000	1020.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327672	BUAH	2024-12-05 09:22:00	60	60	0	0	1025.000000	1025.000000	1020.000000	1020.000000	1200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327673	BUAH	2024-12-05 09:23:00	60	60	0	0	1025.000000	1025.000000	1020.000000	1020.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327674	BUAH	2024-12-05 09:24:00	60	60	0	0	1025.000000	1025.000000	1020.000000	1025.000000	1800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327675	BUAH	2024-12-05 09:25:00	60	60	0	0	1025.000000	1025.000000	1020.000000	1020.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
327676	BUAH	2024-12-05 09:26:00	60	60	0	0	1025.000000	1025.000000	1020.000000	1020.000000	800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
