source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
329914	BUDI	2024-12-05 09:00:00	60		0	0	230.000000	230.000000	228.000000	228.000000	1600	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
329915	BUDI	2024-12-05 09:08:00	60	480	1	0	230.000000	230.000000	230.000000	230.000000	31400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329916	BUDI	2024-12-05 09:13:00	60	300	1	0	228.000000	228.000000	228.000000	228.000000	7200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329917	BUDI	2024-12-05 09:18:00	60	300	1	0	230.000000	230.000000	230.000000	230.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329918	BUDI	2024-12-05 09:20:00	60	120	1	0	228.000000	228.000000	226.000000	226.000000	36800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329919	BUDI	2024-12-05 09:21:00	60	60	0	0	226.000000	226.000000	226.000000	226.000000	269800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329920	BUDI	2024-12-05 09:37:00	60	960	1	0	226.000000	226.000000	226.000000	226.000000	2400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329921	BUDI	2024-12-05 09:59:00	60	1320	1	0	226.000000	226.000000	226.000000	226.000000	3100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329922	BUDI	2024-12-05 10:07:00	60	480	1	0	224.000000	224.000000	224.000000	224.000000	107000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329923	BUDI	2024-12-05 10:14:00	60	420	1	0	226.000000	226.000000	226.000000	226.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329924	BUDI	2024-12-05 10:22:00	60	480	1	0	226.000000	226.000000	226.000000	226.000000	20000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329925	BUDI	2024-12-05 10:51:00	60	1740	1	0	226.000000	226.000000	226.000000	226.000000	2900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329926	BUDI	2024-12-05 11:04:00	60	780	1	0	226.000000	226.000000	226.000000	226.000000	51100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329927	BUDI	2024-12-05 11:07:00	60	180	1	0	224.000000	224.000000	224.000000	224.000000	118400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329928	BUDI	2024-12-05 11:44:00	60	2220	1	0	224.000000	224.000000	224.000000	224.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329929	BUDI	2024-12-05 11:50:00	60	360	1	0	226.000000	226.000000	226.000000	226.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
329930	BUDI	2024-12-05 11:59:00	60	540	1	0	224.000000	224.000000	224.000000	224.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1
329931	BUDI	2024-12-05 13:30:00	60	5460	1	0	226.000000	226.000000	224.000000	226.000000	33100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
329932	BUDI	2024-12-05 13:31:00	60	60	0	0	226.000000	226.000000	226.000000	226.000000	27900	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
329933	BUDI	2024-12-05 13:32:00	60	60	0	0	224.000000	224.000000	224.000000	224.000000	64100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
329934	BUDI	2024-12-05 13:33:00	60	60	0	0	228.000000	242.000000	228.000000	230.000000	877900	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
329935	BUDI	2024-12-05 13:34:00	60	60	0	0	230.000000	230.000000	228.000000	228.000000	32300	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
329936	BUDI	2024-12-05 13:36:00	60	120	1	0	226.000000	226.000000	226.000000	226.000000	21500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
329937	BUDI	2024-12-05 13:38:00	60	120	1	0	226.000000	226.000000	226.000000	226.000000	65000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
