source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
336338	BUKA	2024-12-05 08:59:00	60		0	0	123.000000	123.000000	123.000000	123.000000	63700	11	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	-1	-1
336339	BUKA	2024-12-05 09:00:00	60	60	0	0	123.000000	123.000000	123.000000	123.000000	2565900	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
336340	BUKA	2024-12-05 09:01:00	60	60	0	0	123.000000	123.000000	122.000000	122.000000	525900	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
336341	BUKA	2024-12-05 09:02:00	60	60	0	0	123.000000	123.000000	122.000000	122.000000	501000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
336342	BUKA	2024-12-05 09:03:00	60	60	0	0	122.000000	122.000000	122.000000	122.000000	400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
336343	BUKA	2024-12-05 09:04:00	60	60	0	0	122.000000	123.000000	122.000000	123.000000	301000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
336344	BUKA	2024-12-05 09:05:00	60	60	0	0	123.000000	123.000000	122.000000	123.000000	305600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
336345	BUKA	2024-12-05 09:06:00	60	60	0	0	123.000000	123.000000	122.000000	122.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
336346	BUKA	2024-12-05 09:07:00	60	60	0	0	122.000000	122.000000	122.000000	122.000000	7000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
336347	BUKA	2024-12-05 09:08:00	60	60	0	0	122.000000	122.000000	122.000000	122.000000	6500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
