source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
335235	BUKK	2024-12-05 09:00:00	60		0	0	895.000000	900.000000	895.000000	900.000000	1700	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
335236	BUKK	2024-12-05 09:18:00	60	1080	1	0	900.000000	900.000000	900.000000	900.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
335237	BUKK	2024-12-05 09:25:00	60	420	1	0	895.000000	895.000000	895.000000	895.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
335238	BUKK	2024-12-05 09:39:00	60	840	1	0	900.000000	900.000000	900.000000	900.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
335239	BUKK	2024-12-05 10:33:00	60	3240	1	0	900.000000	900.000000	900.000000	900.000000	1200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
335240	BUKK	2024-12-05 11:19:00	60	2760	1	0	895.000000	895.000000	895.000000	895.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
335241	BUKK	2024-12-05 11:21:00	60	120	1	0	895.000000	895.000000	895.000000	895.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
335242	BUKK	2024-12-05 11:24:00	60	180	1	0	895.000000	895.000000	895.000000	895.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
335243	BUKK	2024-12-05 11:27:00	60	180	1	0	895.000000	895.000000	895.000000	895.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
335244	BUKK	2024-12-05 14:17:00	60	10200	1	0	900.000000	900.000000	900.000000	900.000000	2100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
335245	BUKK	2024-12-05 14:27:00	60	600	1	0	900.000000	900.000000	900.000000	900.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
335246	BUKK	2024-12-05 15:33:00	60	3960	1	0	900.000000	900.000000	900.000000	900.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
