source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
340670	BULL	2024-12-05 09:00:00	60		0	0	112.000000	112.000000	111.000000	111.000000	1900	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
340671	BULL	2024-12-05 09:01:00	60	60	0	0	111.000000	111.000000	111.000000	111.000000	100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
340672	BULL	2024-12-05 09:03:00	60	120	1	0	111.000000	112.000000	111.000000	112.000000	30100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
340673	BULL	2024-12-05 09:05:00	60	120	1	0	112.000000	112.000000	112.000000	112.000000	6000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
340674	BULL	2024-12-05 09:06:00	60	60	0	0	111.000000	112.000000	111.000000	112.000000	10100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
340675	BULL	2024-12-05 09:11:00	60	300	1	0	112.000000	112.000000	112.000000	112.000000	251800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
340676	BULL	2024-12-05 09:12:00	60	60	0	0	113.000000	113.000000	112.000000	112.000000	9800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
340677	BULL	2024-12-05 09:13:00	60	60	0	0	112.000000	113.000000	112.000000	113.000000	31900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
340678	BULL	2024-12-05 09:14:00	60	60	0	0	113.000000	113.000000	113.000000	113.000000	578200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
340679	BULL	2024-12-05 09:15:00	60	60	0	0	113.000000	115.000000	113.000000	114.000000	890500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
