source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
345397	BUMI	2024-12-05 09:00:00	60		0	0	140.000000	141.000000	139.000000	141.000000	19074000	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
345398	BUMI	2024-12-05 09:01:00	60	60	0	0	141.000000	141.000000	140.000000	141.000000	18492800	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
345399	BUMI	2024-12-05 09:02:00	60	60	0	0	141.000000	141.000000	139.000000	139.000000	10581400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
345400	BUMI	2024-12-05 09:03:00	60	60	0	0	140.000000	141.000000	139.000000	140.000000	19355100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
345401	BUMI	2024-12-05 09:04:00	60	60	0	0	141.000000	141.000000	139.000000	140.000000	2654000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
345402	BUMI	2024-12-05 09:05:00	60	60	0	0	140.000000	140.000000	139.000000	140.000000	1830300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345403	BUMI	2024-12-05 09:06:00	60	60	0	0	140.000000	140.000000	138.000000	138.000000	38740100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345404	BUMI	2024-12-05 09:07:00	60	60	0	0	138.000000	139.000000	138.000000	138.000000	15781100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345405	BUMI	2024-12-05 09:08:00	60	60	0	0	138.000000	139.000000	138.000000	138.000000	163400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345406	BUMI	2024-12-05 09:09:00	60	60	0	0	138.000000	139.000000	138.000000	139.000000	11276500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345407	BUMI	2024-12-05 09:10:00	60	60	0	0	139.000000	140.000000	138.000000	138.000000	9549900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345408	BUMI	2024-12-05 09:11:00	60	60	0	0	139.000000	139.000000	138.000000	138.000000	1561500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345409	BUMI	2024-12-05 09:12:00	60	60	0	0	138.000000	139.000000	138.000000	138.000000	2503800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345410	BUMI	2024-12-05 09:13:00	60	60	0	0	139.000000	139.000000	138.000000	139.000000	387700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345411	BUMI	2024-12-05 09:14:00	60	60	0	0	139.000000	139.000000	138.000000	138.000000	61100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345412	BUMI	2024-12-05 09:15:00	60	60	0	0	139.000000	139.000000	138.000000	138.000000	709600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345413	BUMI	2024-12-05 09:16:00	60	60	0	0	138.000000	139.000000	138.000000	138.000000	260200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345414	BUMI	2024-12-05 09:17:00	60	60	0	0	139.000000	139.000000	138.000000	139.000000	8465200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345415	BUMI	2024-12-05 09:18:00	60	60	0	0	139.000000	140.000000	139.000000	140.000000	86600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345416	BUMI	2024-12-05 09:19:00	60	60	0	0	140.000000	140.000000	139.000000	139.000000	253000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345417	BUMI	2024-12-05 09:20:00	60	60	0	0	139.000000	140.000000	139.000000	140.000000	916800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345418	BUMI	2024-12-05 09:21:00	60	60	0	0	140.000000	140.000000	139.000000	140.000000	774700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345419	BUMI	2024-12-05 09:22:00	60	60	0	0	140.000000	140.000000	139.000000	140.000000	84800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
345420	BUMI	2024-12-05 09:23:00	60	60	0	0	140.000000	140.000000	138.000000	139.000000	12698000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
