source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
343430	BUVA	2024-12-05 09:00:00	60		0	0	50.862068	50.862068	50.000000	50.000000	2784	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
343431	BUVA	2024-12-05 09:19:00	60	1140	1	0	50.862068	50.862068	50.862068	50.862068	580	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
343432	BUVA	2024-12-05 09:20:00	60	60	0	0	50.000000	50.000000	50.000000	50.000000	1160	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
343433	BUVA	2024-12-05 09:32:00	60	720	1	0	50.862068	50.862068	50.862068	50.862068	116	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
343434	BUVA	2024-12-05 10:02:00	60	1800	1	0	50.862068	50.862068	50.862068	50.862068	116	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
343435	BUVA	2024-12-05 10:07:00	60	300	1	0	50.000000	50.000000	50.000000	50.000000	116	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
343436	BUVA	2024-12-05 10:19:00	60	720	1	0	50.000000	50.000000	50.000000	50.000000	13688	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
343437	BUVA	2024-12-05 10:20:00	60	60	0	0	50.000000	50.000000	50.000000	50.000000	116	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
343438	BUVA	2024-12-05 10:33:00	60	780	1	0	50.862068	50.862068	50.862068	50.862068	348	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
343439	BUVA	2024-12-05 10:54:00	60	1260	1	0	50.862068	50.862068	50.862068	50.862068	11600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
343440	BUVA	2024-12-05 11:45:00	60	3060	1	0	50.862068	50.862068	50.862068	50.862068	1972	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
343441	BUVA	2024-12-05 13:31:00	60	6360	1	0	50.000000	50.000000	50.000000	50.000000	116000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
343442	BUVA	2024-12-05 13:56:00	60	1500	1	0	50.000000	50.000000	50.000000	50.000000	2668	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
343443	BUVA	2024-12-05 14:09:00	60	780	1	0	50.862068	50.862068	50.862068	50.862068	116	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
343444	BUVA	2024-12-05 14:38:00	60	1740	1	0	50.000000	50.000000	50.000000	50.000000	10092	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
343445	BUVA	2024-12-05 14:49:00	60	660	1	0	50.000000	50.000000	50.000000	50.000000	116	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
343446	BUVA	2024-12-05 15:21:00	60	1920	1	0	50.000000	50.000000	50.000000	50.000000	69600	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
343447	BUVA	2024-12-05 15:25:00	60	240	1	0	50.862068	50.862068	50.862068	50.862068	348	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
343448	BUVA	2024-12-05 15:46:00	60	1260	1	0	50.862068	50.862068	50.862068	50.862068	23200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	-1	-1	-1
343449	BUVA	2024-12-05 16:00:00	60	840	1	0	50.000000	50.000000	50.000000	50.000000	1740	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
