source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
350768	BVIC	2024-12-05 09:00:00	60		0	0	95.000000	95.000000	95.000000	95.000000	35900	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
350769	BVIC	2024-12-05 09:02:00	60	120	1	0	95.000000	95.000000	95.000000	95.000000	600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
350770	BVIC	2024-12-05 09:06:00	60	240	1	0	95.000000	95.000000	95.000000	95.000000	16300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350771	BVIC	2024-12-05 09:07:00	60	60	0	0	95.000000	95.000000	95.000000	95.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350772	BVIC	2024-12-05 09:14:00	60	420	1	0	94.000000	94.000000	94.000000	94.000000	55700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350773	BVIC	2024-12-05 09:15:00	60	60	0	0	94.000000	94.000000	94.000000	94.000000	35000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350774	BVIC	2024-12-05 09:21:00	60	360	1	0	93.000000	93.000000	93.000000	93.000000	7500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350775	BVIC	2024-12-05 09:23:00	60	120	1	0	94.000000	94.000000	93.000000	93.000000	332600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350776	BVIC	2024-12-05 09:24:00	60	60	0	0	94.000000	94.000000	94.000000	94.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350777	BVIC	2024-12-05 09:27:00	60	180	1	0	94.000000	94.000000	94.000000	94.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350778	BVIC	2024-12-05 09:30:00	60	180	1	0	93.000000	93.000000	93.000000	93.000000	35300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350779	BVIC	2024-12-05 09:39:00	60	540	1	0	93.000000	93.000000	93.000000	93.000000	49900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350780	BVIC	2024-12-05 09:41:00	60	120	1	0	93.000000	93.000000	93.000000	93.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350781	BVIC	2024-12-05 09:42:00	60	60	0	0	93.000000	93.000000	93.000000	93.000000	14500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350782	BVIC	2024-12-05 09:49:00	60	420	1	0	93.000000	93.000000	93.000000	93.000000	61700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350783	BVIC	2024-12-05 09:55:00	60	360	1	0	93.000000	93.000000	93.000000	93.000000	11000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350784	BVIC	2024-12-05 10:04:00	60	540	1	0	93.000000	93.000000	93.000000	93.000000	68100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350785	BVIC	2024-12-05 10:17:00	60	780	1	0	93.000000	93.000000	93.000000	93.000000	10100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350786	BVIC	2024-12-05 10:19:00	60	120	1	0	93.000000	93.000000	93.000000	93.000000	3900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350787	BVIC	2024-12-05 10:20:00	60	60	0	0	94.000000	94.000000	94.000000	94.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350788	BVIC	2024-12-05 10:22:00	60	120	1	0	93.000000	93.000000	93.000000	93.000000	5900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350789	BVIC	2024-12-05 10:23:00	60	60	0	0	93.000000	93.000000	93.000000	93.000000	11100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
350790	BVIC	2024-12-05 10:24:00	60	60	0	0	93.000000	93.000000	93.000000	93.000000	11500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
