source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
353811	BWPT	2024-12-05 09:00:00	60		0	0	61.000000	61.000000	60.000000	61.000000	1563100	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
353812	BWPT	2024-12-05 09:02:00	60	120	1	0	61.000000	61.000000	61.000000	61.000000	8000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
353813	BWPT	2024-12-05 09:04:00	60	120	1	0	61.000000	61.000000	61.000000	61.000000	2400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
353814	BWPT	2024-12-05 09:06:00	60	120	1	0	60.000000	60.000000	60.000000	60.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353815	BWPT	2024-12-05 09:09:00	60	180	1	0	60.000000	60.000000	60.000000	60.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353816	BWPT	2024-12-05 09:10:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	48500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353817	BWPT	2024-12-05 09:11:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353818	BWPT	2024-12-05 09:14:00	60	180	1	0	60.000000	60.000000	60.000000	60.000000	2500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353819	BWPT	2024-12-05 09:15:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353820	BWPT	2024-12-05 09:16:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	10400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353821	BWPT	2024-12-05 09:17:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	1008300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353822	BWPT	2024-12-05 09:20:00	60	180	1	0	61.000000	61.000000	61.000000	61.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353823	BWPT	2024-12-05 09:24:00	60	240	1	0	60.000000	60.000000	60.000000	60.000000	10000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353824	BWPT	2024-12-05 09:30:00	60	360	1	0	60.000000	60.000000	60.000000	60.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353825	BWPT	2024-12-05 09:31:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	19000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353826	BWPT	2024-12-05 09:33:00	60	120	1	0	60.000000	60.000000	60.000000	60.000000	28300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353827	BWPT	2024-12-05 09:36:00	60	180	1	0	60.000000	60.000000	60.000000	60.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353828	BWPT	2024-12-05 09:40:00	60	240	1	0	60.000000	60.000000	60.000000	60.000000	88300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353829	BWPT	2024-12-05 09:42:00	60	120	1	0	60.000000	60.000000	60.000000	60.000000	5000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353830	BWPT	2024-12-05 09:48:00	60	360	1	0	61.000000	61.000000	61.000000	61.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353831	BWPT	2024-12-05 09:51:00	60	180	1	0	60.000000	60.000000	60.000000	60.000000	44900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353832	BWPT	2024-12-05 09:52:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353833	BWPT	2024-12-05 09:53:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	1500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353834	BWPT	2024-12-05 09:54:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353835	BWPT	2024-12-05 09:55:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	1100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353836	BWPT	2024-12-05 09:57:00	60	120	1	0	60.000000	60.000000	60.000000	60.000000	1500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353837	BWPT	2024-12-05 09:59:00	60	120	1	0	61.000000	61.000000	61.000000	61.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353838	BWPT	2024-12-05 10:10:00	60	660	1	0	60.000000	60.000000	60.000000	60.000000	50000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353839	BWPT	2024-12-05 10:15:00	60	300	1	0	60.000000	60.000000	60.000000	60.000000	4900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353840	BWPT	2024-12-05 10:16:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	50000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353841	BWPT	2024-12-05 10:17:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	23500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353842	BWPT	2024-12-05 10:23:00	60	360	1	0	60.000000	60.000000	60.000000	60.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353843	BWPT	2024-12-05 10:24:00	60	60	0	0	61.000000	61.000000	61.000000	61.000000	2300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353844	BWPT	2024-12-05 10:29:00	60	300	1	0	61.000000	61.000000	61.000000	61.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353845	BWPT	2024-12-05 10:36:00	60	420	1	0	61.000000	61.000000	61.000000	61.000000	2500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353846	BWPT	2024-12-05 10:40:00	60	240	1	0	60.000000	60.000000	60.000000	60.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353847	BWPT	2024-12-05 10:42:00	60	120	1	0	60.000000	60.000000	60.000000	60.000000	5600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353848	BWPT	2024-12-05 10:48:00	60	360	1	0	60.000000	60.000000	60.000000	60.000000	85000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353849	BWPT	2024-12-05 10:52:00	60	240	1	0	60.000000	60.000000	60.000000	60.000000	104000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353850	BWPT	2024-12-05 10:54:00	60	120	1	0	60.000000	60.000000	60.000000	60.000000	1700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353851	BWPT	2024-12-05 10:58:00	60	240	1	0	60.000000	60.000000	60.000000	60.000000	100000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353852	BWPT	2024-12-05 10:59:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	96500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353853	BWPT	2024-12-05 11:00:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353854	BWPT	2024-12-05 11:04:00	60	240	1	0	60.000000	60.000000	60.000000	60.000000	52500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353855	BWPT	2024-12-05 11:19:00	60	900	1	0	60.000000	60.000000	60.000000	60.000000	1400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353856	BWPT	2024-12-05 11:23:00	60	240	1	0	60.000000	60.000000	60.000000	60.000000	10000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353857	BWPT	2024-12-05 11:25:00	60	120	1	0	60.000000	60.000000	60.000000	60.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353858	BWPT	2024-12-05 11:30:00	60	300	1	0	60.000000	60.000000	60.000000	60.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353859	BWPT	2024-12-05 11:31:00	60	60	0	0	60.000000	60.000000	60.000000	60.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353860	BWPT	2024-12-05 11:37:00	60	360	1	0	60.000000	60.000000	60.000000	60.000000	5000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353861	BWPT	2024-12-05 11:42:00	60	300	1	0	59.000000	59.000000	59.000000	59.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353862	BWPT	2024-12-05 11:53:00	60	660	1	0	59.000000	59.000000	59.000000	59.000000	10000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
353863	BWPT	2024-12-05 11:59:00	60	360	1	0	59.000000	59.000000	59.000000	59.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1
353864	BWPT	2024-12-05 13:30:00	60	5460	1	0	60.000000	60.000000	59.000000	59.000000	2100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
353865	BWPT	2024-12-05 13:46:00	60	960	1	0	60.000000	60.000000	60.000000	60.000000	2000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
353866	BWPT	2024-12-05 13:49:00	60	180	1	0	60.000000	60.000000	60.000000	60.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
353867	BWPT	2024-12-05 13:56:00	60	420	1	0	59.000000	59.000000	59.000000	59.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
353868	BWPT	2024-12-05 14:09:00	60	780	1	0	60.000000	60.000000	60.000000	60.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
