source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
352027	BYAN	2024-12-05 09:00:00	60		0	0	19800.000000	19800.000000	19800.000000	19800.000000	800	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
352028	BYAN	2024-12-05 09:03:00	60	180	1	0	19800.000000	19800.000000	19800.000000	19800.000000	600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
352029	BYAN	2024-12-05 09:04:00	60	60	0	0	19825.000000	19825.000000	19825.000000	19825.000000	400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
352030	BYAN	2024-12-05 09:12:00	60	480	1	0	19750.000000	19750.000000	19750.000000	19750.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352031	BYAN	2024-12-05 09:15:00	60	180	1	0	19750.000000	19750.000000	19750.000000	19750.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352032	BYAN	2024-12-05 09:17:00	60	120	1	0	19775.000000	19775.000000	19775.000000	19775.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352033	BYAN	2024-12-05 09:23:00	60	360	1	0	19775.000000	19775.000000	19775.000000	19775.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352034	BYAN	2024-12-05 09:24:00	60	60	0	0	19775.000000	19775.000000	19775.000000	19775.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352035	BYAN	2024-12-05 09:27:00	60	180	1	0	19800.000000	19800.000000	19800.000000	19800.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352036	BYAN	2024-12-05 09:35:00	60	480	1	0	19750.000000	19750.000000	19750.000000	19750.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352037	BYAN	2024-12-05 09:39:00	60	240	1	0	19750.000000	19750.000000	19750.000000	19750.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352038	BYAN	2024-12-05 09:50:00	60	660	1	0	19750.000000	19750.000000	19750.000000	19750.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352039	BYAN	2024-12-05 09:53:00	60	180	1	0	19800.000000	19800.000000	19800.000000	19800.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352040	BYAN	2024-12-05 10:01:00	60	480	1	0	19800.000000	19800.000000	19800.000000	19800.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352041	BYAN	2024-12-05 10:40:00	60	2340	1	0	19775.000000	19775.000000	19775.000000	19775.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352042	BYAN	2024-12-05 11:00:00	60	1200	1	0	19750.000000	19775.000000	19750.000000	19775.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352043	BYAN	2024-12-05 11:03:00	60	180	1	0	19750.000000	19750.000000	19750.000000	19750.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352044	BYAN	2024-12-05 11:05:00	60	120	1	0	19750.000000	19750.000000	19750.000000	19750.000000	2100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352045	BYAN	2024-12-05 11:06:00	60	60	0	0	19750.000000	19750.000000	19750.000000	19750.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352046	BYAN	2024-12-05 11:12:00	60	360	1	0	19750.000000	19800.000000	19750.000000	19800.000000	3800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
352047	BYAN	2024-12-05 11:30:00	60	1080	1	0	19750.000000	19800.000000	19750.000000	19800.000000	2800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
