source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
356444	CAMP	2024-12-05 09:00:00	60		0	0	288.000000	288.000000	260.000000	262.000000	4400	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
356445	CAMP	2024-12-05 09:01:00	60	60	0	0	262.000000	262.000000	262.000000	262.000000	100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
356446	CAMP	2024-12-05 09:03:00	60	120	1	0	262.000000	262.000000	262.000000	262.000000	4900	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
356447	CAMP	2024-12-05 09:06:00	60	180	1	0	262.000000	262.000000	262.000000	262.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356448	CAMP	2024-12-05 09:09:00	60	180	1	0	262.000000	262.000000	262.000000	262.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356449	CAMP	2024-12-05 09:12:00	60	180	1	0	260.000000	260.000000	260.000000	260.000000	10500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356450	CAMP	2024-12-05 09:25:00	60	780	1	0	260.000000	260.000000	260.000000	260.000000	1100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356451	CAMP	2024-12-05 09:32:00	60	420	1	0	260.000000	260.000000	260.000000	260.000000	1500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356452	CAMP	2024-12-05 09:34:00	60	120	1	0	260.000000	260.000000	260.000000	260.000000	20000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356453	CAMP	2024-12-05 09:42:00	60	480	1	0	260.000000	262.000000	260.000000	262.000000	2300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356454	CAMP	2024-12-05 09:43:00	60	60	0	0	262.000000	262.000000	260.000000	260.000000	1100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356455	CAMP	2024-12-05 09:45:00	60	120	1	0	262.000000	262.000000	262.000000	262.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356456	CAMP	2024-12-05 09:46:00	60	60	0	0	262.000000	262.000000	262.000000	262.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356457	CAMP	2024-12-05 09:50:00	60	240	1	0	262.000000	262.000000	262.000000	262.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356458	CAMP	2024-12-05 09:52:00	60	120	1	0	262.000000	262.000000	262.000000	262.000000	1100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356459	CAMP	2024-12-05 09:54:00	60	120	1	0	262.000000	262.000000	262.000000	262.000000	2500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356460	CAMP	2024-12-05 09:56:00	60	120	1	0	262.000000	262.000000	262.000000	262.000000	1500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356461	CAMP	2024-12-05 10:00:00	60	240	1	0	262.000000	262.000000	262.000000	262.000000	1200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356462	CAMP	2024-12-05 10:02:00	60	120	1	0	262.000000	262.000000	262.000000	262.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356463	CAMP	2024-12-05 10:03:00	60	60	0	0	260.000000	260.000000	260.000000	260.000000	9900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356464	CAMP	2024-12-05 10:04:00	60	60	0	0	262.000000	262.000000	262.000000	262.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356465	CAMP	2024-12-05 10:06:00	60	120	1	0	262.000000	262.000000	262.000000	262.000000	1300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356466	CAMP	2024-12-05 10:07:00	60	60	0	0	262.000000	262.000000	262.000000	262.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356467	CAMP	2024-12-05 10:10:00	60	180	1	0	262.000000	262.000000	262.000000	262.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356468	CAMP	2024-12-05 10:20:00	60	600	1	0	260.000000	260.000000	260.000000	260.000000	5700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356469	CAMP	2024-12-05 10:23:00	60	180	1	0	262.000000	262.000000	262.000000	262.000000	10000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356470	CAMP	2024-12-05 10:32:00	60	540	1	0	262.000000	262.000000	262.000000	262.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356471	CAMP	2024-12-05 10:37:00	60	300	1	0	262.000000	262.000000	262.000000	262.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356472	CAMP	2024-12-05 10:38:00	60	60	0	0	260.000000	260.000000	260.000000	260.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356473	CAMP	2024-12-05 10:39:00	60	60	0	0	262.000000	262.000000	262.000000	262.000000	15300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356474	CAMP	2024-12-05 10:43:00	60	240	1	0	262.000000	262.000000	262.000000	262.000000	1100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356475	CAMP	2024-12-05 10:44:00	60	60	0	0	262.000000	262.000000	262.000000	262.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356476	CAMP	2024-12-05 10:49:00	60	300	1	0	260.000000	260.000000	260.000000	260.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356477	CAMP	2024-12-05 10:52:00	60	180	1	0	262.000000	262.000000	262.000000	262.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356478	CAMP	2024-12-05 10:54:00	60	120	1	0	260.000000	260.000000	260.000000	260.000000	42000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356479	CAMP	2024-12-05 10:57:00	60	180	1	0	262.000000	262.000000	262.000000	262.000000	10000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356480	CAMP	2024-12-05 11:02:00	60	300	1	0	262.000000	262.000000	262.000000	262.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356481	CAMP	2024-12-05 11:03:00	60	60	0	0	262.000000	262.000000	262.000000	262.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356482	CAMP	2024-12-05 11:05:00	60	120	1	0	262.000000	262.000000	262.000000	262.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356483	CAMP	2024-12-05 11:09:00	60	240	1	0	262.000000	262.000000	262.000000	262.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356484	CAMP	2024-12-05 11:11:00	60	120	1	0	262.000000	262.000000	262.000000	262.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356485	CAMP	2024-12-05 11:14:00	60	180	1	0	262.000000	262.000000	262.000000	262.000000	800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356486	CAMP	2024-12-05 11:19:00	60	300	1	0	262.000000	262.000000	262.000000	262.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356487	CAMP	2024-12-05 11:28:00	60	540	1	0	262.000000	262.000000	262.000000	262.000000	10200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356488	CAMP	2024-12-05 11:29:00	60	60	0	0	262.000000	262.000000	262.000000	262.000000	7800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356489	CAMP	2024-12-05 11:30:00	60	60	0	0	262.000000	262.000000	262.000000	262.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356490	CAMP	2024-12-05 11:38:00	60	480	1	0	262.000000	262.000000	262.000000	262.000000	2200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356491	CAMP	2024-12-05 11:44:00	60	360	1	0	260.000000	260.000000	260.000000	260.000000	10300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356492	CAMP	2024-12-05 11:45:00	60	60	0	0	264.000000	264.000000	264.000000	264.000000	9000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356493	CAMP	2024-12-05 11:48:00	60	180	1	0	264.000000	264.000000	264.000000	264.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356494	CAMP	2024-12-05 11:53:00	60	300	1	0	262.000000	262.000000	262.000000	262.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356495	CAMP	2024-12-05 11:54:00	60	60	0	0	262.000000	262.000000	262.000000	262.000000	14700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
356496	CAMP	2024-12-05 11:56:00	60	120	1	0	262.000000	262.000000	262.000000	262.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1
356497	CAMP	2024-12-05 13:30:00	60	5640	1	0	262.000000	264.000000	262.000000	264.000000	400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
356498	CAMP	2024-12-05 13:31:00	60	60	0	0	262.000000	262.000000	262.000000	262.000000	4100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
356499	CAMP	2024-12-05 13:32:00	60	60	0	0	260.000000	260.000000	260.000000	260.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
356500	CAMP	2024-12-05 13:41:00	60	540	1	0	260.000000	260.000000	260.000000	260.000000	10200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356501	CAMP	2024-12-05 13:44:00	60	180	1	0	260.000000	260.000000	260.000000	260.000000	18400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356502	CAMP	2024-12-05 13:51:00	60	420	1	0	260.000000	260.000000	260.000000	260.000000	2000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356503	CAMP	2024-12-05 13:55:00	60	240	1	0	262.000000	262.000000	262.000000	262.000000	1500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356504	CAMP	2024-12-05 13:58:00	60	180	1	0	262.000000	262.000000	262.000000	262.000000	10500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356505	CAMP	2024-12-05 13:59:00	60	60	0	0	262.000000	262.000000	262.000000	262.000000	2400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356506	CAMP	2024-12-05 14:10:00	60	660	1	0	260.000000	262.000000	260.000000	262.000000	9800	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356507	CAMP	2024-12-05 14:13:00	60	180	1	0	262.000000	262.000000	262.000000	262.000000	2500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356508	CAMP	2024-12-05 14:15:00	60	120	1	0	262.000000	262.000000	262.000000	262.000000	1800	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356509	CAMP	2024-12-05 14:17:00	60	120	1	0	262.000000	262.000000	262.000000	262.000000	1900	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356510	CAMP	2024-12-05 14:19:00	60	120	1	0	260.000000	260.000000	260.000000	260.000000	8400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356511	CAMP	2024-12-05 14:23:00	60	240	1	0	262.000000	262.000000	262.000000	262.000000	11000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356512	CAMP	2024-12-05 14:30:00	60	420	1	0	262.000000	262.000000	262.000000	262.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356513	CAMP	2024-12-05 14:36:00	60	360	1	0	264.000000	264.000000	264.000000	264.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356514	CAMP	2024-12-05 14:39:00	60	180	1	0	264.000000	264.000000	264.000000	264.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356515	CAMP	2024-12-05 14:48:00	60	540	1	0	264.000000	264.000000	264.000000	264.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356516	CAMP	2024-12-05 14:50:00	60	120	1	0	264.000000	264.000000	264.000000	264.000000	59500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356517	CAMP	2024-12-05 14:51:00	60	60	0	0	264.000000	264.000000	264.000000	264.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356518	CAMP	2024-12-05 14:57:00	60	360	1	0	264.000000	264.000000	264.000000	264.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356519	CAMP	2024-12-05 14:58:00	60	60	0	0	264.000000	264.000000	264.000000	264.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356520	CAMP	2024-12-05 14:59:00	60	60	0	0	264.000000	264.000000	264.000000	264.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356521	CAMP	2024-12-05 15:07:00	60	480	1	0	264.000000	264.000000	264.000000	264.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356522	CAMP	2024-12-05 15:09:00	60	120	1	0	264.000000	264.000000	264.000000	264.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356523	CAMP	2024-12-05 15:12:00	60	180	1	0	264.000000	264.000000	264.000000	264.000000	50500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356524	CAMP	2024-12-05 15:16:00	60	240	1	0	266.000000	266.000000	266.000000	266.000000	300	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
356525	CAMP	2024-12-05 15:21:00	60	300	1	0	266.000000	266.000000	266.000000	266.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
