source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
358219	CARE	2024-12-05 09:00:00	60		0	0	178.000000	178.000000	178.000000	178.000000	56500	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
358220	CARE	2024-12-05 09:02:00	60	120	1	0	178.000000	178.000000	178.000000	178.000000	959400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
358221	CARE	2024-12-05 09:03:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	1600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
358222	CARE	2024-12-05 09:04:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	53000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
358223	CARE	2024-12-05 09:15:00	60	660	1	0	177.000000	177.000000	177.000000	177.000000	28000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358224	CARE	2024-12-05 09:16:00	60	60	0	0	177.000000	178.000000	177.000000	178.000000	60100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358225	CARE	2024-12-05 09:17:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	2400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358226	CARE	2024-12-05 09:18:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	2800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358227	CARE	2024-12-05 09:19:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358228	CARE	2024-12-05 09:20:00	60	60	0	0	177.000000	178.000000	177.000000	178.000000	9900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358229	CARE	2024-12-05 09:24:00	60	240	1	0	177.000000	177.000000	177.000000	177.000000	60000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358230	CARE	2024-12-05 09:25:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358231	CARE	2024-12-05 09:27:00	60	120	1	0	178.000000	178.000000	178.000000	178.000000	5000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358232	CARE	2024-12-05 09:28:00	60	60	0	0	177.000000	178.000000	177.000000	178.000000	16800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358233	CARE	2024-12-05 09:29:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	4700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358234	CARE	2024-12-05 09:30:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	1415000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358235	CARE	2024-12-05 09:31:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	121400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358236	CARE	2024-12-05 09:32:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	60000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358237	CARE	2024-12-05 09:33:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	352400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358238	CARE	2024-12-05 09:34:00	60	60	0	0	179.000000	179.000000	179.000000	179.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358239	CARE	2024-12-05 09:36:00	60	120	1	0	179.000000	179.000000	179.000000	179.000000	3200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358240	CARE	2024-12-05 09:37:00	60	60	0	0	179.000000	179.000000	179.000000	179.000000	1600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358241	CARE	2024-12-05 09:38:00	60	60	0	0	179.000000	179.000000	179.000000	179.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358242	CARE	2024-12-05 09:39:00	60	60	0	0	179.000000	179.000000	179.000000	179.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358243	CARE	2024-12-05 09:41:00	60	120	1	0	179.000000	179.000000	179.000000	179.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358244	CARE	2024-12-05 09:46:00	60	300	1	0	178.000000	178.000000	178.000000	178.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358245	CARE	2024-12-05 09:51:00	60	300	1	0	179.000000	179.000000	179.000000	179.000000	7120300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358246	CARE	2024-12-05 09:52:00	60	60	0	0	179.000000	179.000000	179.000000	179.000000	2100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358247	CARE	2024-12-05 09:54:00	60	120	1	0	179.000000	179.000000	179.000000	179.000000	846800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358248	CARE	2024-12-05 09:55:00	60	60	0	0	179.000000	179.000000	179.000000	179.000000	95900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358249	CARE	2024-12-05 09:56:00	60	60	0	0	179.000000	179.000000	179.000000	179.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358250	CARE	2024-12-05 09:58:00	60	120	1	0	179.000000	179.000000	179.000000	179.000000	5000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358251	CARE	2024-12-05 09:59:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	5000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358252	CARE	2024-12-05 10:00:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	5600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358253	CARE	2024-12-05 10:01:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	3000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358254	CARE	2024-12-05 10:02:00	60	60	0	0	178.000000	179.000000	178.000000	179.000000	50400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358255	CARE	2024-12-05 10:06:00	60	240	1	0	179.000000	179.000000	179.000000	179.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358256	CARE	2024-12-05 10:07:00	60	60	0	0	179.000000	179.000000	179.000000	179.000000	3000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358257	CARE	2024-12-05 10:08:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	27000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358258	CARE	2024-12-05 10:17:00	60	540	1	0	179.000000	179.000000	179.000000	179.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358259	CARE	2024-12-05 10:20:00	60	180	1	0	179.000000	179.000000	179.000000	179.000000	5000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358260	CARE	2024-12-05 10:21:00	60	60	0	0	179.000000	179.000000	179.000000	179.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358261	CARE	2024-12-05 10:29:00	60	480	1	0	179.000000	179.000000	179.000000	179.000000	6200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358262	CARE	2024-12-05 10:31:00	60	120	1	0	178.000000	178.000000	178.000000	178.000000	2197700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358263	CARE	2024-12-05 10:32:00	60	60	0	0	178.000000	178.000000	178.000000	178.000000	11400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
358264	CARE	2024-12-05 10:35:00	60	180	1	0	178.000000	178.000000	178.000000	178.000000	2500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
