source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
360168	CARS	2024-12-05 09:00:00	60		0	0	83.000000	83.000000	83.000000	83.000000	3200	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
360169	CARS	2024-12-05 09:11:00	60	660	1	0	83.000000	83.000000	83.000000	83.000000	6000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360170	CARS	2024-12-05 09:13:00	60	120	1	0	83.000000	83.000000	83.000000	83.000000	1800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360171	CARS	2024-12-05 09:29:00	60	960	1	0	82.000000	82.000000	82.000000	82.000000	50000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360172	CARS	2024-12-05 09:30:00	60	60	0	0	83.000000	83.000000	83.000000	83.000000	1100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360173	CARS	2024-12-05 09:35:00	60	300	1	0	82.000000	82.000000	82.000000	82.000000	3000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360174	CARS	2024-12-05 09:42:00	60	420	1	0	83.000000	83.000000	83.000000	83.000000	36700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360175	CARS	2024-12-05 09:49:00	60	420	1	0	83.000000	83.000000	83.000000	83.000000	58000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360176	CARS	2024-12-05 09:53:00	60	240	1	0	84.000000	84.000000	84.000000	84.000000	259900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360177	CARS	2024-12-05 09:57:00	60	240	1	0	84.000000	84.000000	84.000000	84.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360178	CARS	2024-12-05 09:58:00	60	60	0	0	84.000000	84.000000	84.000000	84.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360179	CARS	2024-12-05 10:06:00	60	480	1	0	84.000000	84.000000	84.000000	84.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360180	CARS	2024-12-05 10:15:00	60	540	1	0	84.000000	84.000000	84.000000	84.000000	500000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360181	CARS	2024-12-05 10:18:00	60	180	1	0	83.000000	83.000000	83.000000	83.000000	100000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360182	CARS	2024-12-05 10:32:00	60	840	1	0	84.000000	84.000000	84.000000	84.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360183	CARS	2024-12-05 10:45:00	60	780	1	0	84.000000	84.000000	84.000000	84.000000	27500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360184	CARS	2024-12-05 10:46:00	60	60	0	0	84.000000	84.000000	84.000000	84.000000	11500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360185	CARS	2024-12-05 11:03:00	60	1020	1	0	84.000000	84.000000	84.000000	84.000000	1500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360186	CARS	2024-12-05 11:09:00	60	360	1	0	84.000000	84.000000	84.000000	84.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360187	CARS	2024-12-05 11:38:00	60	1740	1	0	83.000000	83.000000	83.000000	83.000000	1300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360188	CARS	2024-12-05 11:53:00	60	900	1	0	83.000000	83.000000	83.000000	83.000000	396500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360189	CARS	2024-12-05 11:57:00	60	240	1	0	84.000000	84.000000	84.000000	84.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1
360190	CARS	2024-12-05 13:30:00	60	5580	1	0	84.000000	84.000000	84.000000	84.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
360191	CARS	2024-12-05 14:22:00	60	3120	1	0	83.000000	83.000000	83.000000	83.000000	900	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360192	CARS	2024-12-05 14:26:00	60	240	1	0	84.000000	84.000000	84.000000	84.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360193	CARS	2024-12-05 14:47:00	60	1260	1	0	83.000000	83.000000	83.000000	83.000000	1000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360194	CARS	2024-12-05 14:53:00	60	360	1	0	84.000000	84.000000	84.000000	84.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360195	CARS	2024-12-05 15:06:00	60	780	1	0	83.000000	83.000000	83.000000	83.000000	900	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360196	CARS	2024-12-05 15:14:00	60	480	1	0	84.000000	84.000000	84.000000	84.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360197	CARS	2024-12-05 15:17:00	60	180	1	0	83.000000	83.000000	83.000000	83.000000	2500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360198	CARS	2024-12-05 15:19:00	60	120	1	0	84.000000	84.000000	84.000000	84.000000	300	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360199	CARS	2024-12-05 15:22:00	60	180	1	0	84.000000	84.000000	84.000000	84.000000	30000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360200	CARS	2024-12-05 15:27:00	60	300	1	0	83.000000	83.000000	83.000000	83.000000	3000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360201	CARS	2024-12-05 15:35:00	60	480	1	0	83.000000	83.000000	83.000000	83.000000	1000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360202	CARS	2024-12-05 15:39:00	60	240	1	0	83.000000	83.000000	83.000000	83.000000	35000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360203	CARS	2024-12-05 16:00:00	60	1260	1	0	83.000000	83.000000	83.000000	83.000000	500000	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
