source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
360938	CASA	2024-12-05 09:00:00	60		0	0	525.000000	525.000000	525.000000	525.000000	2100	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
360939	CASA	2024-12-05 09:05:00	60	300	1	0	525.000000	525.000000	520.000000	525.000000	186900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360940	CASA	2024-12-05 09:06:00	60	60	0	0	520.000000	520.000000	520.000000	520.000000	8400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360941	CASA	2024-12-05 09:10:00	60	240	1	0	520.000000	520.000000	520.000000	520.000000	15600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360942	CASA	2024-12-05 09:17:00	60	420	1	0	520.000000	520.000000	520.000000	520.000000	31800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360943	CASA	2024-12-05 09:18:00	60	60	0	0	525.000000	525.000000	520.000000	525.000000	110100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360944	CASA	2024-12-05 09:42:00	60	1440	1	0	520.000000	520.000000	520.000000	520.000000	3600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360945	CASA	2024-12-05 09:43:00	60	60	0	0	520.000000	520.000000	520.000000	520.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360946	CASA	2024-12-05 09:46:00	60	180	1	0	520.000000	520.000000	520.000000	520.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360947	CASA	2024-12-05 10:00:00	60	840	1	0	520.000000	520.000000	520.000000	520.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360948	CASA	2024-12-05 10:56:00	60	3360	1	0	515.000000	515.000000	515.000000	515.000000	10600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360949	CASA	2024-12-05 10:57:00	60	60	0	0	515.000000	515.000000	515.000000	515.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360950	CASA	2024-12-05 11:06:00	60	540	1	0	520.000000	520.000000	520.000000	520.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360951	CASA	2024-12-05 11:07:00	60	60	0	0	520.000000	520.000000	520.000000	520.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360952	CASA	2024-12-05 11:38:00	60	1860	1	0	520.000000	520.000000	515.000000	520.000000	97900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
360953	CASA	2024-12-05 14:26:00	60	10080	1	0	515.000000	515.000000	515.000000	515.000000	7400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360954	CASA	2024-12-05 14:47:00	60	1260	1	0	515.000000	515.000000	515.000000	515.000000	3000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360955	CASA	2024-12-05 15:00:00	60	780	1	0	515.000000	515.000000	515.000000	515.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360956	CASA	2024-12-05 15:28:00	60	1680	1	0	515.000000	515.000000	515.000000	515.000000	7000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360957	CASA	2024-12-05 15:37:00	60	540	1	0	515.000000	515.000000	515.000000	515.000000	43700	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
360958	CASA	2024-12-05 16:00:00	60	1380	1	0	520.000000	520.000000	520.000000	520.000000	90000	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
