source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
361646	CASS	2024-12-05 09:04:00	60		0	0	1760.000000	1760.000000	1760.000000	1760.000000	500	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
361647	CASS	2024-12-05 09:10:00	60	360	1	0	1760.000000	1760.000000	1760.000000	1760.000000	1400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361648	CASS	2024-12-05 09:12:00	60	120	1	0	1755.000000	1755.000000	1755.000000	1755.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361649	CASS	2024-12-05 09:13:00	60	60	0	0	1755.000000	1755.000000	1755.000000	1755.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361650	CASS	2024-12-05 09:15:00	60	120	1	0	1755.000000	1755.000000	1755.000000	1755.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361651	CASS	2024-12-05 09:20:00	60	300	1	0	1750.000000	1750.000000	1750.000000	1750.000000	1600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361652	CASS	2024-12-05 09:26:00	60	360	1	0	1750.000000	1750.000000	1750.000000	1750.000000	8800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361653	CASS	2024-12-05 09:28:00	60	120	1	0	1750.000000	1750.000000	1750.000000	1750.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361654	CASS	2024-12-05 09:41:00	60	780	1	0	1750.000000	1750.000000	1750.000000	1750.000000	3300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361655	CASS	2024-12-05 10:03:00	60	1320	1	0	1745.000000	1745.000000	1745.000000	1745.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361656	CASS	2024-12-05 10:04:00	60	60	0	0	1745.000000	1745.000000	1745.000000	1745.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361657	CASS	2024-12-05 10:46:00	60	2520	1	0	1745.000000	1745.000000	1745.000000	1745.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361658	CASS	2024-12-05 10:49:00	60	180	1	0	1745.000000	1745.000000	1745.000000	1745.000000	1600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361659	CASS	2024-12-05 10:55:00	60	360	1	0	1745.000000	1745.000000	1745.000000	1745.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361660	CASS	2024-12-05 10:56:00	60	60	0	0	1745.000000	1745.000000	1745.000000	1745.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361661	CASS	2024-12-05 11:03:00	60	420	1	0	1745.000000	1750.000000	1745.000000	1750.000000	44200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361662	CASS	2024-12-05 11:05:00	60	120	1	0	1755.000000	1755.000000	1755.000000	1755.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361663	CASS	2024-12-05 11:06:00	60	60	0	0	1755.000000	1755.000000	1755.000000	1755.000000	800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361664	CASS	2024-12-05 11:20:00	60	840	1	0	1760.000000	1760.000000	1760.000000	1760.000000	1200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361665	CASS	2024-12-05 11:49:00	60	1740	1	0	1765.000000	1765.000000	1765.000000	1765.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
361666	CASS	2024-12-05 13:42:00	60	6780	1	0	1765.000000	1765.000000	1765.000000	1765.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361667	CASS	2024-12-05 13:44:00	60	120	1	0	1760.000000	1760.000000	1755.000000	1760.000000	22700	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361668	CASS	2024-12-05 13:50:00	60	360	1	0	1760.000000	1760.000000	1760.000000	1760.000000	12400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361669	CASS	2024-12-05 13:52:00	60	120	1	0	1760.000000	1760.000000	1760.000000	1760.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361670	CASS	2024-12-05 13:53:00	60	60	0	0	1760.000000	1760.000000	1760.000000	1760.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361671	CASS	2024-12-05 14:09:00	60	960	1	0	1760.000000	1760.000000	1760.000000	1760.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361672	CASS	2024-12-05 14:10:00	60	60	0	0	1760.000000	1760.000000	1760.000000	1760.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361673	CASS	2024-12-05 14:20:00	60	600	1	0	1760.000000	1760.000000	1760.000000	1760.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361674	CASS	2024-12-05 14:26:00	60	360	1	0	1760.000000	1760.000000	1760.000000	1760.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361675	CASS	2024-12-05 14:28:00	60	120	1	0	1760.000000	1760.000000	1760.000000	1760.000000	3500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361676	CASS	2024-12-05 14:32:00	60	240	1	0	1760.000000	1760.000000	1760.000000	1760.000000	1800	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361677	CASS	2024-12-05 14:39:00	60	420	1	0	1765.000000	1765.000000	1765.000000	1765.000000	700	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361678	CASS	2024-12-05 14:40:00	60	60	0	0	1765.000000	1765.000000	1765.000000	1765.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361679	CASS	2024-12-05 14:59:00	60	1140	1	0	1760.000000	1760.000000	1760.000000	1760.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361680	CASS	2024-12-05 15:00:00	60	60	0	0	1760.000000	1760.000000	1760.000000	1760.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361681	CASS	2024-12-05 15:18:00	60	1080	1	0	1765.000000	1765.000000	1765.000000	1765.000000	1000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361682	CASS	2024-12-05 15:25:00	60	420	1	0	1765.000000	1765.000000	1765.000000	1765.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361683	CASS	2024-12-05 15:31:00	60	360	1	0	1765.000000	1765.000000	1765.000000	1765.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361684	CASS	2024-12-05 15:33:00	60	120	1	0	1765.000000	1765.000000	1765.000000	1765.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361685	CASS	2024-12-05 15:35:00	60	120	1	0	1765.000000	1765.000000	1765.000000	1765.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
361686	CASS	2024-12-05 15:39:00	60	240	1	0	1760.000000	1760.000000	1760.000000	1760.000000	900	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
