source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
362452	CBPE	2024-12-05 09:00:00	60		0	0	202.000000	208.000000	199.000000	200.000000	2100	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
362453	CBPE	2024-12-05 09:02:00	60	120	1	0	198.000000	198.000000	198.000000	198.000000	11000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
362454	CBPE	2024-12-05 09:07:00	60	300	1	0	197.000000	197.000000	195.000000	195.000000	2300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362455	CBPE	2024-12-05 09:09:00	60	120	1	0	194.000000	194.000000	194.000000	194.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362456	CBPE	2024-12-05 09:14:00	60	300	1	0	200.000000	200.000000	200.000000	200.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362457	CBPE	2024-12-05 09:19:00	60	300	1	0	193.000000	193.000000	193.000000	193.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362458	CBPE	2024-12-05 09:26:00	60	420	1	0	192.000000	192.000000	192.000000	192.000000	3500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362459	CBPE	2024-12-05 09:45:00	60	1140	1	0	193.000000	193.000000	193.000000	193.000000	1300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362460	CBPE	2024-12-05 09:49:00	60	240	1	0	193.000000	193.000000	193.000000	193.000000	2900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362461	CBPE	2024-12-05 09:50:00	60	60	0	0	192.000000	192.000000	192.000000	192.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362462	CBPE	2024-12-05 09:51:00	60	60	0	0	200.000000	200.000000	200.000000	200.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362463	CBPE	2024-12-05 10:23:00	60	1920	1	0	199.000000	199.000000	199.000000	199.000000	1600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362464	CBPE	2024-12-05 10:27:00	60	240	1	0	194.000000	194.000000	194.000000	194.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362465	CBPE	2024-12-05 10:32:00	60	300	1	0	193.000000	193.000000	193.000000	193.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362466	CBPE	2024-12-05 10:43:00	60	660	1	0	194.000000	194.000000	194.000000	194.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362467	CBPE	2024-12-05 10:58:00	60	900	1	0	194.000000	194.000000	194.000000	194.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362468	CBPE	2024-12-05 11:00:00	60	120	1	0	192.000000	192.000000	191.000000	191.000000	33500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362469	CBPE	2024-12-05 11:22:00	60	1320	1	0	192.000000	192.000000	192.000000	192.000000	1600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
362470	CBPE	2024-12-05 13:30:00	60	7680	1	0	192.000000	192.000000	192.000000	192.000000	8200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
362471	CBPE	2024-12-05 13:45:00	60	900	1	0	191.000000	191.000000	191.000000	191.000000	36000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362472	CBPE	2024-12-05 13:47:00	60	120	1	0	190.000000	190.000000	188.000000	188.000000	18200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362473	CBPE	2024-12-05 14:06:00	60	1140	1	0	192.000000	192.000000	192.000000	192.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362474	CBPE	2024-12-05 14:07:00	60	60	0	0	192.000000	192.000000	192.000000	192.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362475	CBPE	2024-12-05 14:20:00	60	780	1	0	192.000000	192.000000	192.000000	192.000000	400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362476	CBPE	2024-12-05 15:06:00	60	2760	1	0	192.000000	192.000000	192.000000	192.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362477	CBPE	2024-12-05 15:08:00	60	120	1	0	192.000000	192.000000	192.000000	192.000000	2400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362478	CBPE	2024-12-05 15:11:00	60	180	1	0	192.000000	192.000000	192.000000	192.000000	1000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362479	CBPE	2024-12-05 15:18:00	60	420	1	0	192.000000	192.000000	192.000000	192.000000	800	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362480	CBPE	2024-12-05 15:21:00	60	180	1	0	192.000000	192.000000	192.000000	192.000000	600	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362481	CBPE	2024-12-05 15:30:00	60	540	1	0	192.000000	192.000000	192.000000	192.000000	5000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362482	CBPE	2024-12-05 15:31:00	60	60	0	0	192.000000	192.000000	192.000000	192.000000	5000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362483	CBPE	2024-12-05 15:32:00	60	60	0	0	192.000000	192.000000	192.000000	192.000000	3700	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362484	CBPE	2024-12-05 15:41:00	60	540	1	0	195.000000	195.000000	195.000000	195.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
362485	CBPE	2024-12-05 16:00:00	60	1140	1	0	200.000000	200.000000	200.000000	200.000000	16000	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
