source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
363778	CBUT	2024-12-05 09:31:00	60		0	0	1050.000000	1050.000000	1050.000000	1050.000000	1600	20	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
363779	CBUT	2024-12-05 09:32:00	60	60	0	0	1050.000000	1050.000000	1050.000000	1050.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
363780	CBUT	2024-12-05 10:12:00	60	2400	1	0	1050.000000	1050.000000	1050.000000	1050.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
363781	CBUT	2024-12-05 10:14:00	60	120	1	0	1050.000000	1050.000000	1050.000000	1050.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
363782	CBUT	2024-12-05 10:33:00	60	1140	1	0	1060.000000	1060.000000	1060.000000	1060.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
363783	CBUT	2024-12-05 13:30:00	60	10620	1	0	1050.000000	1050.000000	1050.000000	1050.000000	1100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
363784	CBUT	2024-12-05 14:15:00	60	2700	1	0	1100.000000	1100.000000	1100.000000	1100.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
363785	CBUT	2024-12-05 14:19:00	60	240	1	0	1100.000000	1100.000000	1100.000000	1100.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
363786	CBUT	2024-12-05 15:34:00	60	4500	1	0	1100.000000	1100.000000	1100.000000	1100.000000	600	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
363787	CBUT	2024-12-05 16:00:00	60	1560	1	0	1100.000000	1100.000000	1100.000000	1100.000000	1000	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
