source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
365483	CEKA	2024-12-05 09:31:00	60		0	0	2050.000000	2050.000000	2050.000000	2050.000000	100	20	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
365484	CEKA	2024-12-05 09:56:00	60	1500	1	0	2040.000000	2040.000000	2040.000000	2040.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
365485	CEKA	2024-12-05 10:07:00	60	660	1	0	2040.000000	2040.000000	2040.000000	2040.000000	2500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
365486	CEKA	2024-12-05 10:11:00	60	240	1	0	2040.000000	2040.000000	2040.000000	2040.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
365487	CEKA	2024-12-05 10:13:00	60	120	1	0	2040.000000	2040.000000	2040.000000	2040.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
365488	CEKA	2024-12-05 10:38:00	60	1500	1	0	2030.000000	2030.000000	2030.000000	2030.000000	1100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
365489	CEKA	2024-12-05 11:23:00	60	2700	1	0	2030.000000	2030.000000	2030.000000	2030.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
365490	CEKA	2024-12-05 11:43:00	60	1200	1	0	2040.000000	2040.000000	2040.000000	2040.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
365491	CEKA	2024-12-05 13:30:00	60	6420	1	0	2040.000000	2040.000000	2040.000000	2040.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
365492	CEKA	2024-12-05 14:08:00	60	2280	1	0	2040.000000	2040.000000	2040.000000	2040.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
365493	CEKA	2024-12-05 15:06:00	60	3480	1	0	2040.000000	2040.000000	2040.000000	2040.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
365494	CEKA	2024-12-05 15:28:00	60	1320	1	0	2040.000000	2040.000000	2040.000000	2040.000000	700	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
365495	CEKA	2024-12-05 15:34:00	60	360	1	0	2040.000000	2040.000000	2040.000000	2040.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
365496	CEKA	2024-12-05 15:35:00	60	60	0	0	2040.000000	2040.000000	2030.000000	2030.000000	9300	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
