source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
366294	CFIN	2024-12-05 09:00:00	60		0	0	322.000000	322.000000	320.000000	320.000000	13800	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
366295	CFIN	2024-12-05 09:01:00	60	60	0	0	320.000000	320.000000	316.000000	318.000000	52600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
366296	CFIN	2024-12-05 09:02:00	60	60	0	0	320.000000	320.000000	320.000000	320.000000	100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
366297	CFIN	2024-12-05 09:04:00	60	120	1	0	318.000000	318.000000	318.000000	318.000000	10400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
366298	CFIN	2024-12-05 09:05:00	60	60	0	0	320.000000	320.000000	320.000000	320.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
366299	CFIN	2024-12-05 09:07:00	60	120	1	0	320.000000	320.000000	320.000000	320.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
366300	CFIN	2024-12-05 09:08:00	60	60	0	0	320.000000	320.000000	320.000000	320.000000	1600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
366301	CFIN	2024-12-05 09:09:00	60	60	0	0	320.000000	320.000000	320.000000	320.000000	1800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
366302	CFIN	2024-12-05 09:10:00	60	60	0	0	320.000000	320.000000	320.000000	320.000000	5000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
366303	CFIN	2024-12-05 09:11:00	60	60	0	0	322.000000	322.000000	322.000000	322.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
