source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
368661	CGAS	2024-12-05 09:00:00	60		0	0	103.000000	103.000000	102.000000	102.000000	6300	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
368662	CGAS	2024-12-05 09:03:00	60	180	1	0	102.000000	102.000000	102.000000	102.000000	10000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
368663	CGAS	2024-12-05 09:09:00	60	360	1	0	103.000000	103.000000	103.000000	103.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
368664	CGAS	2024-12-05 09:13:00	60	240	1	0	102.000000	102.000000	102.000000	102.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
368665	CGAS	2024-12-05 09:14:00	60	60	0	0	102.000000	102.000000	102.000000	102.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
368666	CGAS	2024-12-05 09:15:00	60	60	0	0	103.000000	103.000000	103.000000	103.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
368667	CGAS	2024-12-05 09:23:00	60	480	1	0	102.000000	102.000000	102.000000	102.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
368668	CGAS	2024-12-05 09:27:00	60	240	1	0	103.000000	103.000000	103.000000	103.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
368669	CGAS	2024-12-05 09:28:00	60	60	0	0	102.000000	102.000000	102.000000	102.000000	50300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
368670	CGAS	2024-12-05 09:30:00	60	120	1	0	102.000000	102.000000	102.000000	102.000000	39300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
368671	CGAS	2024-12-05 09:31:00	60	60	0	0	101.000000	101.000000	101.000000	101.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
