source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
371122	CHEM	2024-12-05 09:00:00	60		0	0	69.000000	69.000000	68.000000	68.000000	6200	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
371123	CHEM	2024-12-05 09:01:00	60	60	0	0	69.000000	69.000000	69.000000	69.000000	1000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
371124	CHEM	2024-12-05 09:02:00	60	60	0	0	69.000000	69.000000	69.000000	69.000000	1000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
371125	CHEM	2024-12-05 09:03:00	60	60	0	0	69.000000	69.000000	69.000000	69.000000	1000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
371126	CHEM	2024-12-05 09:07:00	60	240	1	0	69.000000	69.000000	69.000000	69.000000	10000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371127	CHEM	2024-12-05 09:08:00	60	60	0	0	69.000000	69.000000	69.000000	69.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371128	CHEM	2024-12-05 09:10:00	60	120	1	0	69.000000	69.000000	69.000000	69.000000	3300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371129	CHEM	2024-12-05 09:12:00	60	120	1	0	69.000000	69.000000	69.000000	69.000000	800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371130	CHEM	2024-12-05 09:13:00	60	60	0	0	69.000000	69.000000	69.000000	69.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371131	CHEM	2024-12-05 09:16:00	60	180	1	0	69.000000	69.000000	69.000000	69.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371132	CHEM	2024-12-05 09:17:00	60	60	0	0	68.000000	68.000000	68.000000	68.000000	10000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371133	CHEM	2024-12-05 09:23:00	60	360	1	0	68.000000	68.000000	68.000000	68.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371134	CHEM	2024-12-05 09:35:00	60	720	1	0	68.000000	68.000000	68.000000	68.000000	5600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371135	CHEM	2024-12-05 09:36:00	60	60	0	0	68.000000	68.000000	68.000000	68.000000	3100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371136	CHEM	2024-12-05 09:45:00	60	540	1	0	68.000000	68.000000	68.000000	68.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371137	CHEM	2024-12-05 09:48:00	60	180	1	0	68.000000	68.000000	68.000000	68.000000	15000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371138	CHEM	2024-12-05 09:50:00	60	120	1	0	68.000000	68.000000	68.000000	68.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371139	CHEM	2024-12-05 09:54:00	60	240	1	0	68.000000	68.000000	68.000000	68.000000	50800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371140	CHEM	2024-12-05 09:56:00	60	120	1	0	69.000000	69.000000	69.000000	69.000000	3000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371141	CHEM	2024-12-05 09:57:00	60	60	0	0	69.000000	69.000000	69.000000	69.000000	2200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371142	CHEM	2024-12-05 10:26:00	60	1740	1	0	68.000000	68.000000	68.000000	68.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371143	CHEM	2024-12-05 10:30:00	60	240	1	0	68.000000	68.000000	68.000000	68.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371144	CHEM	2024-12-05 10:36:00	60	360	1	0	68.000000	68.000000	68.000000	68.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371145	CHEM	2024-12-05 10:39:00	60	180	1	0	69.000000	69.000000	69.000000	69.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371146	CHEM	2024-12-05 10:50:00	60	660	1	0	69.000000	69.000000	69.000000	69.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371147	CHEM	2024-12-05 11:03:00	60	780	1	0	69.000000	69.000000	69.000000	69.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371148	CHEM	2024-12-05 11:06:00	60	180	1	0	68.000000	68.000000	68.000000	68.000000	1400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371149	CHEM	2024-12-05 11:27:00	60	1260	1	0	69.000000	69.000000	69.000000	69.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371150	CHEM	2024-12-05 11:45:00	60	1080	1	0	68.000000	69.000000	68.000000	69.000000	10900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
371151	CHEM	2024-12-05 11:49:00	60	240	1	0	69.000000	69.000000	69.000000	69.000000	1500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
