source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
372288	CHIP	2024-12-05 09:00:00	60		0	0	1585.000000	1590.000000	1585.000000	1590.000000	1000	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
372289	CHIP	2024-12-05 09:03:00	60	180	1	0	1595.000000	1595.000000	1595.000000	1595.000000	300	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
372290	CHIP	2024-12-05 09:05:00	60	120	1	0	1595.000000	1595.000000	1595.000000	1595.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372291	CHIP	2024-12-05 09:06:00	60	60	0	0	1590.000000	1590.000000	1590.000000	1590.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372292	CHIP	2024-12-05 09:09:00	60	180	1	0	1595.000000	1595.000000	1590.000000	1590.000000	1800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372293	CHIP	2024-12-05 09:10:00	60	60	0	0	1595.000000	1595.000000	1595.000000	1595.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372294	CHIP	2024-12-05 09:11:00	60	60	0	0	1595.000000	1595.000000	1595.000000	1595.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372295	CHIP	2024-12-05 09:14:00	60	180	1	0	1590.000000	1590.000000	1590.000000	1590.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372296	CHIP	2024-12-05 09:15:00	60	60	0	0	1590.000000	1590.000000	1590.000000	1590.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372297	CHIP	2024-12-05 09:19:00	60	240	1	0	1590.000000	1590.000000	1590.000000	1590.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372298	CHIP	2024-12-05 09:21:00	60	120	1	0	1595.000000	1595.000000	1595.000000	1595.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372299	CHIP	2024-12-05 09:22:00	60	60	0	0	1595.000000	1600.000000	1595.000000	1600.000000	17900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372300	CHIP	2024-12-05 09:23:00	60	60	0	0	1600.000000	1600.000000	1600.000000	1600.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372301	CHIP	2024-12-05 09:24:00	60	60	0	0	1595.000000	1595.000000	1595.000000	1595.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372302	CHIP	2024-12-05 09:29:00	60	300	1	0	1595.000000	1600.000000	1595.000000	1600.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372303	CHIP	2024-12-05 09:30:00	60	60	0	0	1600.000000	1600.000000	1600.000000	1600.000000	6300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372304	CHIP	2024-12-05 09:31:00	60	60	0	0	1600.000000	1600.000000	1600.000000	1600.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372305	CHIP	2024-12-05 09:32:00	60	60	0	0	1605.000000	1605.000000	1605.000000	1605.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372306	CHIP	2024-12-05 09:33:00	60	60	0	0	1605.000000	1605.000000	1605.000000	1605.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372307	CHIP	2024-12-05 09:38:00	60	300	1	0	1605.000000	1605.000000	1605.000000	1605.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372308	CHIP	2024-12-05 09:39:00	60	60	0	0	1600.000000	1600.000000	1600.000000	1600.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372309	CHIP	2024-12-05 09:42:00	60	180	1	0	1605.000000	1605.000000	1605.000000	1605.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
372310	CHIP	2024-12-05 09:43:00	60	60	0	0	1600.000000	1600.000000	1600.000000	1600.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
