source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
374500	CINT	2024-12-05 09:05:00	60		0	0	177.000000	177.000000	175.000000	175.000000	3000	20	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
374501	CINT	2024-12-05 09:10:00	60	300	1	0	176.000000	176.000000	176.000000	176.000000	4700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
374502	CINT	2024-12-05 09:13:00	60	180	1	0	176.000000	176.000000	176.000000	176.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
374503	CINT	2024-12-05 09:15:00	60	120	1	0	176.000000	176.000000	176.000000	176.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
374504	CINT	2024-12-05 10:02:00	60	2820	1	0	176.000000	176.000000	175.000000	175.000000	10200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
374505	CINT	2024-12-05 10:15:00	60	780	1	0	176.000000	176.000000	175.000000	175.000000	8800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
374506	CINT	2024-12-05 10:23:00	60	480	1	0	178.000000	178.000000	178.000000	178.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
374507	CINT	2024-12-05 11:06:00	60	2580	1	0	175.000000	175.000000	175.000000	175.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
374508	CINT	2024-12-05 11:43:00	60	2220	1	0	177.000000	177.000000	177.000000	177.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
374509	CINT	2024-12-05 11:56:00	60	780	1	0	177.000000	177.000000	177.000000	177.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1
374510	CINT	2024-12-05 13:30:00	60	5640	1	0	176.000000	176.000000	176.000000	176.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
374511	CINT	2024-12-05 13:43:00	60	780	1	0	176.000000	176.000000	176.000000	176.000000	2700	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
374512	CINT	2024-12-05 13:52:00	60	540	1	0	176.000000	176.000000	176.000000	176.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
374513	CINT	2024-12-05 13:57:00	60	300	1	0	175.000000	175.000000	175.000000	175.000000	8900	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
374514	CINT	2024-12-05 13:58:00	60	60	0	0	175.000000	175.000000	175.000000	175.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
374515	CINT	2024-12-05 14:06:00	60	480	1	0	175.000000	175.000000	174.000000	174.000000	8800	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
374516	CINT	2024-12-05 14:09:00	60	180	1	0	175.000000	175.000000	175.000000	175.000000	400	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
374517	CINT	2024-12-05 14:10:00	60	60	0	0	175.000000	175.000000	175.000000	175.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
374518	CINT	2024-12-05 14:15:00	60	300	1	0	175.000000	175.000000	174.000000	174.000000	1000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
374519	CINT	2024-12-05 14:22:00	60	420	1	0	174.000000	174.000000	173.000000	173.000000	10500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
374520	CINT	2024-12-05 14:23:00	60	60	0	0	177.000000	177.000000	177.000000	177.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
374521	CINT	2024-12-05 15:21:00	60	3480	1	0	174.000000	174.000000	174.000000	174.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
374522	CINT	2024-12-05 15:43:00	60	1320	1	0	174.000000	174.000000	174.000000	174.000000	2000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
374523	CINT	2024-12-05 15:47:00	60	240	1	0	174.000000	174.000000	174.000000	174.000000	2000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	-1	-1	-1
