source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
376422	CITA	2024-12-05 09:04:00	60		0	0	3330.000000	3330.000000	3330.000000	3330.000000	900	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
376423	CITA	2024-12-05 09:06:00	60	120	1	0	3300.000000	3330.000000	3300.000000	3330.000000	1600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376424	CITA	2024-12-05 09:19:00	60	780	1	0	3330.000000	3330.000000	3330.000000	3330.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376425	CITA	2024-12-05 09:26:00	60	420	1	0	3320.000000	3320.000000	3320.000000	3320.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376426	CITA	2024-12-05 09:30:00	60	240	1	0	3320.000000	3320.000000	3320.000000	3320.000000	800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376427	CITA	2024-12-05 09:34:00	60	240	1	0	3320.000000	3320.000000	3320.000000	3320.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376428	CITA	2024-12-05 09:38:00	60	240	1	0	3310.000000	3310.000000	3310.000000	3310.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376429	CITA	2024-12-05 09:43:00	60	300	1	0	3300.000000	3300.000000	3300.000000	3300.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376430	CITA	2024-12-05 09:51:00	60	480	1	0	3300.000000	3310.000000	3300.000000	3310.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376431	CITA	2024-12-05 09:54:00	60	180	1	0	3310.000000	3310.000000	3310.000000	3310.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376432	CITA	2024-12-05 09:58:00	60	240	1	0	3300.000000	3300.000000	3300.000000	3300.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376433	CITA	2024-12-05 10:01:00	60	180	1	0	3310.000000	3330.000000	3300.000000	3330.000000	3100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376434	CITA	2024-12-05 10:05:00	60	240	1	0	3300.000000	3330.000000	3300.000000	3330.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376435	CITA	2024-12-05 10:08:00	60	180	1	0	3330.000000	3440.000000	3330.000000	3440.000000	26000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376436	CITA	2024-12-05 10:09:00	60	60	0	0	3440.000000	3440.000000	3430.000000	3430.000000	4500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376437	CITA	2024-12-05 10:10:00	60	60	0	0	3420.000000	3420.000000	3420.000000	3420.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
376438	CITA	2024-12-05 10:11:00	60	60	0	0	3410.000000	3410.000000	3410.000000	3410.000000	800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
