source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
377964	CITY	2024-12-05 09:00:00	60		0	0	136.000000	140.000000	135.000000	135.000000	466300	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
377965	CITY	2024-12-05 09:01:00	60	60	0	0	134.000000	134.000000	130.000000	132.000000	336100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
377966	CITY	2024-12-05 09:02:00	60	60	0	0	132.000000	133.000000	131.000000	133.000000	185600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
377967	CITY	2024-12-05 09:03:00	60	60	0	0	135.000000	135.000000	133.000000	134.000000	27400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
377968	CITY	2024-12-05 09:04:00	60	60	0	0	133.000000	134.000000	133.000000	133.000000	78500	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
377969	CITY	2024-12-05 09:05:00	60	60	0	0	133.000000	134.000000	133.000000	134.000000	66500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
377970	CITY	2024-12-05 09:06:00	60	60	0	0	134.000000	134.000000	131.000000	132.000000	309900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
377971	CITY	2024-12-05 09:07:00	60	60	0	0	132.000000	133.000000	132.000000	133.000000	97500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
377972	CITY	2024-12-05 09:08:00	60	60	0	0	132.000000	133.000000	132.000000	132.000000	218100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
377973	CITY	2024-12-05 09:09:00	60	60	0	0	131.000000	132.000000	131.000000	131.000000	47800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
