source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
382841	CLEO	2024-12-05 09:00:00	60		0	0	610.000000	610.000000	610.000000	610.000000	4000	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
382842	CLEO	2024-12-05 09:03:00	60	180	1	0	610.000000	610.000000	610.000000	610.000000	4200	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
382843	CLEO	2024-12-05 09:04:00	60	60	0	0	610.000000	610.000000	607.500000	607.500000	204000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
382844	CLEO	2024-12-05 09:05:00	60	60	0	0	610.000000	610.000000	610.000000	610.000000	22000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382845	CLEO	2024-12-05 09:06:00	60	60	0	0	612.500000	612.500000	612.500000	612.500000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382846	CLEO	2024-12-05 09:07:00	60	60	0	0	612.500000	612.500000	612.500000	612.500000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382847	CLEO	2024-12-05 09:08:00	60	60	0	0	610.000000	610.000000	610.000000	610.000000	8600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382848	CLEO	2024-12-05 09:09:00	60	60	0	0	612.500000	612.500000	610.000000	612.500000	264200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382849	CLEO	2024-12-05 09:12:00	60	180	1	0	612.500000	612.500000	612.500000	612.500000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382850	CLEO	2024-12-05 09:13:00	60	60	0	0	612.500000	612.500000	612.500000	612.500000	11800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382851	CLEO	2024-12-05 09:15:00	60	120	1	0	612.500000	612.500000	612.500000	612.500000	8400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382852	CLEO	2024-12-05 09:16:00	60	60	0	0	615.000000	615.000000	615.000000	615.000000	21000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382853	CLEO	2024-12-05 09:17:00	60	60	0	0	615.000000	615.000000	615.000000	615.000000	51600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382854	CLEO	2024-12-05 09:18:00	60	60	0	0	615.000000	615.000000	615.000000	615.000000	150600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382855	CLEO	2024-12-05 09:20:00	60	120	1	0	615.000000	617.500000	615.000000	617.500000	120800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382856	CLEO	2024-12-05 09:21:00	60	60	0	0	615.000000	615.000000	615.000000	615.000000	24000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382857	CLEO	2024-12-05 09:22:00	60	60	0	0	615.000000	615.000000	615.000000	615.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382858	CLEO	2024-12-05 09:24:00	60	120	1	0	612.500000	617.500000	612.500000	617.500000	217400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382859	CLEO	2024-12-05 09:25:00	60	60	0	0	615.000000	615.000000	615.000000	615.000000	5600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382860	CLEO	2024-12-05 09:27:00	60	120	1	0	615.000000	615.000000	615.000000	615.000000	10400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382861	CLEO	2024-12-05 09:29:00	60	120	1	0	615.000000	615.000000	615.000000	615.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382862	CLEO	2024-12-05 09:30:00	60	60	0	0	615.000000	617.500000	615.000000	617.500000	190000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382863	CLEO	2024-12-05 09:31:00	60	60	0	0	615.000000	615.000000	615.000000	615.000000	4000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382864	CLEO	2024-12-05 09:34:00	60	180	1	0	615.000000	615.000000	615.000000	615.000000	3800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382865	CLEO	2024-12-05 09:36:00	60	120	1	0	615.000000	615.000000	615.000000	615.000000	2200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382866	CLEO	2024-12-05 09:38:00	60	120	1	0	617.500000	620.000000	617.500000	620.000000	146600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382867	CLEO	2024-12-05 09:41:00	60	180	1	0	617.500000	617.500000	617.500000	617.500000	12000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382868	CLEO	2024-12-05 09:43:00	60	120	1	0	617.500000	617.500000	617.500000	617.500000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382869	CLEO	2024-12-05 09:44:00	60	60	0	0	617.500000	617.500000	617.500000	617.500000	5200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382870	CLEO	2024-12-05 09:45:00	60	60	0	0	617.500000	620.000000	617.500000	620.000000	7200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382871	CLEO	2024-12-05 09:46:00	60	60	0	0	617.500000	617.500000	617.500000	617.500000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382872	CLEO	2024-12-05 09:47:00	60	60	0	0	620.000000	620.000000	620.000000	620.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382873	CLEO	2024-12-05 09:48:00	60	60	0	0	620.000000	620.000000	617.500000	617.500000	8400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382874	CLEO	2024-12-05 09:52:00	60	240	1	0	617.500000	617.500000	617.500000	617.500000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382875	CLEO	2024-12-05 09:53:00	60	60	0	0	617.500000	617.500000	617.500000	617.500000	14000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382876	CLEO	2024-12-05 09:54:00	60	60	0	0	617.500000	617.500000	617.500000	617.500000	5400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382877	CLEO	2024-12-05 09:55:00	60	60	0	0	620.000000	620.000000	620.000000	620.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382878	CLEO	2024-12-05 09:59:00	60	240	1	0	620.000000	620.000000	620.000000	620.000000	1600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382879	CLEO	2024-12-05 10:01:00	60	120	1	0	620.000000	620.000000	620.000000	620.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382880	CLEO	2024-12-05 10:05:00	60	240	1	0	620.000000	620.000000	620.000000	620.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382881	CLEO	2024-12-05 10:06:00	60	60	0	0	617.500000	617.500000	617.500000	617.500000	15200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382882	CLEO	2024-12-05 10:11:00	60	300	1	0	617.500000	625.000000	617.500000	625.000000	474600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382883	CLEO	2024-12-05 10:12:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	47200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382884	CLEO	2024-12-05 10:15:00	60	180	1	0	620.000000	620.000000	620.000000	620.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382885	CLEO	2024-12-05 10:16:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	196600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382886	CLEO	2024-12-05 10:17:00	60	60	0	0	622.500000	625.000000	622.500000	625.000000	208400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382887	CLEO	2024-12-05 10:18:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	41800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382888	CLEO	2024-12-05 10:20:00	60	120	1	0	622.500000	622.500000	622.500000	622.500000	10200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382889	CLEO	2024-12-05 10:21:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382890	CLEO	2024-12-05 10:22:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	4000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382891	CLEO	2024-12-05 10:23:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382892	CLEO	2024-12-05 10:24:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	20000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382893	CLEO	2024-12-05 10:25:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	1200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382894	CLEO	2024-12-05 10:26:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	3200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382895	CLEO	2024-12-05 10:27:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	40000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382896	CLEO	2024-12-05 10:28:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	101000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382897	CLEO	2024-12-05 10:29:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	5400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382898	CLEO	2024-12-05 10:30:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382899	CLEO	2024-12-05 10:31:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	142000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382900	CLEO	2024-12-05 10:32:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382901	CLEO	2024-12-05 10:33:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382902	CLEO	2024-12-05 10:34:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	111200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382903	CLEO	2024-12-05 10:35:00	60	60	0	0	620.000000	620.000000	620.000000	620.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382904	CLEO	2024-12-05 10:36:00	60	60	0	0	620.000000	620.000000	620.000000	620.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382905	CLEO	2024-12-05 10:40:00	60	240	1	0	620.000000	622.500000	620.000000	622.500000	285000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382906	CLEO	2024-12-05 10:41:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382907	CLEO	2024-12-05 10:44:00	60	180	1	0	622.500000	622.500000	622.500000	622.500000	188000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382908	CLEO	2024-12-05 10:45:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	174800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382909	CLEO	2024-12-05 10:46:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	213200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382910	CLEO	2024-12-05 10:47:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	172400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382911	CLEO	2024-12-05 10:48:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	118400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382912	CLEO	2024-12-05 10:49:00	60	60	0	0	620.000000	620.000000	620.000000	620.000000	20800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382913	CLEO	2024-12-05 10:51:00	60	120	1	0	620.000000	620.000000	620.000000	620.000000	131600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382914	CLEO	2024-12-05 10:53:00	60	120	1	0	620.000000	622.500000	620.000000	620.000000	800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382915	CLEO	2024-12-05 10:56:00	60	180	1	0	622.500000	622.500000	622.500000	622.500000	2200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382916	CLEO	2024-12-05 10:57:00	60	60	0	0	622.500000	622.500000	622.500000	622.500000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382917	CLEO	2024-12-05 11:07:00	60	600	1	0	620.000000	620.000000	620.000000	620.000000	115200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382918	CLEO	2024-12-05 11:08:00	60	60	0	0	617.500000	617.500000	617.500000	617.500000	20000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
