source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
381474	CLPI	2024-12-05 09:00:00	60		0	0	1055.000000	1055.000000	1055.000000	1055.000000	1800	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
381475	CLPI	2024-12-05 09:06:00	60	360	1	0	1065.000000	1065.000000	1065.000000	1065.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
381476	CLPI	2024-12-05 09:17:00	60	660	1	0	1060.000000	1070.000000	1060.000000	1070.000000	8600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
381477	CLPI	2024-12-05 09:42:00	60	1500	1	0	1065.000000	1065.000000	1065.000000	1065.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
381478	CLPI	2024-12-05 10:24:00	60	2520	1	0	1065.000000	1065.000000	1065.000000	1065.000000	7000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
381479	CLPI	2024-12-05 10:57:00	60	1980	1	0	1065.000000	1065.000000	1065.000000	1065.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
381480	CLPI	2024-12-05 11:15:00	60	1080	1	0	1060.000000	1060.000000	1060.000000	1060.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
381481	CLPI	2024-12-05 11:41:00	60	1560	1	0	1065.000000	1065.000000	1065.000000	1065.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
381482	CLPI	2024-12-05 13:30:00	60	6540	1	0	1065.000000	1065.000000	1065.000000	1065.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
381483	CLPI	2024-12-05 13:36:00	60	360	1	0	1060.000000	1060.000000	1060.000000	1060.000000	300	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
381484	CLPI	2024-12-05 14:01:00	60	1500	1	0	1060.000000	1060.000000	1060.000000	1060.000000	300	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
381485	CLPI	2024-12-05 14:08:00	60	420	1	0	1060.000000	1060.000000	1060.000000	1060.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
381486	CLPI	2024-12-05 14:15:00	60	420	1	0	1060.000000	1060.000000	1060.000000	1060.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
381487	CLPI	2024-12-05 15:02:00	60	2820	1	0	1060.000000	1060.000000	1060.000000	1060.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
381488	CLPI	2024-12-05 15:03:00	60	60	0	0	1060.000000	1060.000000	1060.000000	1060.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
381489	CLPI	2024-12-05 15:22:00	60	1140	1	0	1055.000000	1055.000000	1055.000000	1055.000000	2000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
381490	CLPI	2024-12-05 15:23:00	60	60	0	0	1055.000000	1055.000000	1055.000000	1055.000000	1800	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
381491	CLPI	2024-12-05 15:41:00	60	1080	1	0	1055.000000	1055.000000	1055.000000	1055.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
381492	CLPI	2024-12-05 16:03:00	60	1320	1	0	1055.000000	1055.000000	1055.000000	1055.000000	300	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	-1
381493	CLPI	2024-12-05 16:14:00	60	660	1	0	1055.000000	1055.000000	1055.000000	1055.000000	2000	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	-1
