source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
382032	CMNP	2024-12-05 09:02:00	60		0	0	1405.000000	1405.000000	1405.000000	1405.000000	100	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
382033	CMNP	2024-12-05 09:23:00	60	1260	1	0	1415.000000	1415.000000	1415.000000	1415.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382034	CMNP	2024-12-05 10:48:00	60	5100	1	0	1415.000000	1415.000000	1415.000000	1415.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382035	CMNP	2024-12-05 11:31:00	60	2580	1	0	1410.000000	1410.000000	1410.000000	1410.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382036	CMNP	2024-12-05 11:50:00	60	1140	1	0	1410.000000	1410.000000	1410.000000	1410.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
382037	CMNP	2024-12-05 14:12:00	60	8520	1	0	1405.000000	1405.000000	1405.000000	1405.000000	3000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
382038	CMNP	2024-12-05 14:29:00	60	1020	1	0	1405.000000	1405.000000	1405.000000	1405.000000	500	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
382039	CMNP	2024-12-05 14:30:00	60	60	0	0	1400.000000	1400.000000	1400.000000	1400.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
382040	CMNP	2024-12-05 14:36:00	60	360	1	0	1400.000000	1400.000000	1400.000000	1400.000000	4200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
382041	CMNP	2024-12-05 14:50:00	60	840	1	0	1400.000000	1400.000000	1400.000000	1400.000000	1000	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
382042	CMNP	2024-12-05 14:51:00	60	60	0	0	1400.000000	1400.000000	1400.000000	1400.000000	800	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
382043	CMNP	2024-12-05 15:44:00	60	3180	1	0	1410.000000	1410.000000	1410.000000	1410.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
382044	CMNP	2024-12-05 16:00:00	60	960	1	0	1400.000000	1400.000000	1400.000000	1400.000000	500	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
