source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
387180	CMNT	2024-12-05 09:00:00	60		0	0	965.000000	965.000000	960.000000	960.000000	85300	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
387181	CMNT	2024-12-05 09:02:00	60	120	1	0	970.000000	970.000000	970.000000	970.000000	217700	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
387182	CMNT	2024-12-05 09:03:00	60	60	0	0	970.000000	970.000000	970.000000	970.000000	126700	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
387183	CMNT	2024-12-05 09:08:00	60	300	1	0	960.000000	960.000000	960.000000	960.000000	800000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387184	CMNT	2024-12-05 09:09:00	60	60	0	0	960.000000	960.000000	960.000000	960.000000	1200000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387185	CMNT	2024-12-05 09:11:00	60	120	1	0	960.000000	960.000000	960.000000	960.000000	350000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387186	CMNT	2024-12-05 09:14:00	60	180	1	0	970.000000	970.000000	970.000000	970.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387187	CMNT	2024-12-05 09:15:00	60	60	0	0	965.000000	965.000000	965.000000	965.000000	800000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387188	CMNT	2024-12-05 09:18:00	60	180	1	0	975.000000	975.000000	970.000000	970.000000	950000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387189	CMNT	2024-12-05 09:19:00	60	60	0	0	970.000000	970.000000	970.000000	970.000000	1350000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387190	CMNT	2024-12-05 09:20:00	60	60	0	0	975.000000	975.000000	975.000000	975.000000	217700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387191	CMNT	2024-12-05 09:22:00	60	120	1	0	975.000000	975.000000	975.000000	975.000000	699500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387192	CMNT	2024-12-05 09:23:00	60	60	0	0	975.000000	980.000000	975.000000	975.000000	1602500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387193	CMNT	2024-12-05 09:25:00	60	120	1	0	975.000000	975.000000	975.000000	975.000000	519300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387194	CMNT	2024-12-05 09:26:00	60	60	0	0	975.000000	975.000000	975.000000	975.000000	200000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387195	CMNT	2024-12-05 09:28:00	60	120	1	0	975.000000	980.000000	975.000000	980.000000	70000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387196	CMNT	2024-12-05 09:31:00	60	180	1	0	970.000000	970.000000	970.000000	970.000000	5144400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387197	CMNT	2024-12-05 09:37:00	60	360	1	0	970.000000	970.000000	970.000000	970.000000	300000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387198	CMNT	2024-12-05 09:38:00	60	60	0	0	970.000000	970.000000	970.000000	970.000000	599600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387199	CMNT	2024-12-05 09:39:00	60	60	0	0	970.000000	970.000000	970.000000	970.000000	1970500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387200	CMNT	2024-12-05 09:40:00	60	60	0	0	970.000000	970.000000	970.000000	970.000000	130000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387201	CMNT	2024-12-05 09:42:00	60	120	1	0	970.000000	970.000000	970.000000	970.000000	500000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387202	CMNT	2024-12-05 09:43:00	60	60	0	0	970.000000	970.000000	970.000000	970.000000	300000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387203	CMNT	2024-12-05 09:44:00	60	60	0	0	970.000000	970.000000	970.000000	970.000000	300000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387204	CMNT	2024-12-05 09:45:00	60	60	0	0	970.000000	970.000000	970.000000	970.000000	100000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387205	CMNT	2024-12-05 09:46:00	60	60	0	0	970.000000	970.000000	970.000000	970.000000	110000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387206	CMNT	2024-12-05 09:47:00	60	60	0	0	975.000000	975.000000	970.000000	970.000000	93000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387207	CMNT	2024-12-05 09:48:00	60	60	0	0	970.000000	970.000000	970.000000	970.000000	245000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387208	CMNT	2024-12-05 09:50:00	60	120	1	0	970.000000	975.000000	970.000000	975.000000	1103400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387209	CMNT	2024-12-05 09:52:00	60	120	1	0	975.000000	975.000000	970.000000	970.000000	1489100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
387210	CMNT	2024-12-05 10:01:00	60	540	1	0	975.000000	975.000000	975.000000	975.000000	1800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
