source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
389672	CMRY	2024-12-05 09:00:00	60		0	0	5425.000000	5425.000000	5425.000000	5425.000000	200	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
389673	CMRY	2024-12-05 09:01:00	60	60	0	0	5425.000000	5450.000000	5425.000000	5450.000000	300	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
389674	CMRY	2024-12-05 09:02:00	60	60	0	0	5400.000000	5450.000000	5400.000000	5450.000000	200	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
389675	CMRY	2024-12-05 09:04:00	60	120	1	0	5450.000000	5450.000000	5450.000000	5450.000000	100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
389676	CMRY	2024-12-05 09:05:00	60	60	0	0	5450.000000	5450.000000	5450.000000	5450.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389677	CMRY	2024-12-05 09:07:00	60	120	1	0	5450.000000	5450.000000	5425.000000	5425.000000	5500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389678	CMRY	2024-12-05 09:10:00	60	180	1	0	5450.000000	5450.000000	5425.000000	5425.000000	8500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389679	CMRY	2024-12-05 09:12:00	60	120	1	0	5450.000000	5450.000000	5450.000000	5450.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389680	CMRY	2024-12-05 09:18:00	60	360	1	0	5450.000000	5450.000000	5450.000000	5450.000000	800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389681	CMRY	2024-12-05 09:20:00	60	120	1	0	5450.000000	5450.000000	5450.000000	5450.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389682	CMRY	2024-12-05 09:25:00	60	300	1	0	5450.000000	5450.000000	5425.000000	5450.000000	27400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389683	CMRY	2024-12-05 09:26:00	60	60	0	0	5450.000000	5450.000000	5450.000000	5450.000000	2800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389684	CMRY	2024-12-05 09:29:00	60	180	1	0	5450.000000	5450.000000	5425.000000	5425.000000	9700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389685	CMRY	2024-12-05 09:31:00	60	120	1	0	5450.000000	5450.000000	5425.000000	5425.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389686	CMRY	2024-12-05 09:33:00	60	120	1	0	5450.000000	5450.000000	5450.000000	5450.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389687	CMRY	2024-12-05 09:34:00	60	60	0	0	5425.000000	5450.000000	5425.000000	5450.000000	10400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389688	CMRY	2024-12-05 09:37:00	60	180	1	0	5425.000000	5425.000000	5425.000000	5425.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389689	CMRY	2024-12-05 09:43:00	60	360	1	0	5450.000000	5450.000000	5425.000000	5425.000000	21300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389690	CMRY	2024-12-05 09:46:00	60	180	1	0	5425.000000	5450.000000	5400.000000	5400.000000	24500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389691	CMRY	2024-12-05 09:47:00	60	60	0	0	5450.000000	5450.000000	5450.000000	5450.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389692	CMRY	2024-12-05 09:51:00	60	240	1	0	5450.000000	5450.000000	5450.000000	5450.000000	7300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389693	CMRY	2024-12-05 09:53:00	60	120	1	0	5450.000000	5450.000000	5450.000000	5450.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389694	CMRY	2024-12-05 09:56:00	60	180	1	0	5475.000000	5475.000000	5475.000000	5475.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389695	CMRY	2024-12-05 09:59:00	60	180	1	0	5475.000000	5475.000000	5475.000000	5475.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389696	CMRY	2024-12-05 10:02:00	60	180	1	0	5475.000000	5475.000000	5475.000000	5475.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389697	CMRY	2024-12-05 10:05:00	60	180	1	0	5475.000000	5475.000000	5475.000000	5475.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389698	CMRY	2024-12-05 10:07:00	60	120	1	0	5450.000000	5450.000000	5450.000000	5450.000000	3700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389699	CMRY	2024-12-05 10:11:00	60	240	1	0	5450.000000	5450.000000	5450.000000	5450.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389700	CMRY	2024-12-05 10:12:00	60	60	0	0	5450.000000	5450.000000	5450.000000	5450.000000	14300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389701	CMRY	2024-12-05 10:13:00	60	60	0	0	5450.000000	5450.000000	5450.000000	5450.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389702	CMRY	2024-12-05 10:15:00	60	120	1	0	5475.000000	5475.000000	5475.000000	5475.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389703	CMRY	2024-12-05 10:19:00	60	240	1	0	5450.000000	5450.000000	5450.000000	5450.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389704	CMRY	2024-12-05 10:23:00	60	240	1	0	5450.000000	5475.000000	5450.000000	5475.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389705	CMRY	2024-12-05 10:27:00	60	240	1	0	5450.000000	5450.000000	5450.000000	5450.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389706	CMRY	2024-12-05 10:37:00	60	600	1	0	5475.000000	5475.000000	5450.000000	5450.000000	3500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389707	CMRY	2024-12-05 10:39:00	60	120	1	0	5450.000000	5450.000000	5425.000000	5425.000000	14500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389708	CMRY	2024-12-05 10:43:00	60	240	1	0	5450.000000	5450.000000	5450.000000	5450.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389709	CMRY	2024-12-05 10:48:00	60	300	1	0	5450.000000	5450.000000	5425.000000	5425.000000	20000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389710	CMRY	2024-12-05 10:49:00	60	60	0	0	5450.000000	5450.000000	5425.000000	5425.000000	2400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389711	CMRY	2024-12-05 10:50:00	60	60	0	0	5450.000000	5450.000000	5450.000000	5450.000000	4800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389712	CMRY	2024-12-05 10:57:00	60	420	1	0	5475.000000	5475.000000	5475.000000	5475.000000	14000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389713	CMRY	2024-12-05 10:59:00	60	120	1	0	5450.000000	5450.000000	5450.000000	5450.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389714	CMRY	2024-12-05 11:00:00	60	60	0	0	5475.000000	5475.000000	5475.000000	5475.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389715	CMRY	2024-12-05 11:18:00	60	1080	1	0	5450.000000	5450.000000	5450.000000	5450.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389716	CMRY	2024-12-05 11:19:00	60	60	0	0	5475.000000	5475.000000	5450.000000	5450.000000	15300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389717	CMRY	2024-12-05 11:20:00	60	60	0	0	5475.000000	5475.000000	5475.000000	5475.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389718	CMRY	2024-12-05 11:21:00	60	60	0	0	5475.000000	5475.000000	5475.000000	5475.000000	6200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389719	CMRY	2024-12-05 11:24:00	60	180	1	0	5475.000000	5475.000000	5475.000000	5475.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
389720	CMRY	2024-12-05 11:27:00	60	180	1	0	5500.000000	5500.000000	5500.000000	5500.000000	5000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
