source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
393186	CNMA	2024-12-05 09:00:00	60		0	0	180.000000	183.000000	180.000000	182.000000	93600	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
393187	CNMA	2024-12-05 09:01:00	60	60	0	0	181.000000	181.000000	181.000000	181.000000	18300	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
393188	CNMA	2024-12-05 09:03:00	60	120	1	0	181.000000	181.000000	180.000000	180.000000	1031200	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
393189	CNMA	2024-12-05 09:05:00	60	120	1	0	180.000000	180.000000	180.000000	180.000000	20000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393190	CNMA	2024-12-05 09:06:00	60	60	0	0	181.000000	181.000000	181.000000	181.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393191	CNMA	2024-12-05 09:07:00	60	60	0	0	180.000000	180.000000	180.000000	180.000000	1646700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393192	CNMA	2024-12-05 09:09:00	60	120	1	0	181.000000	181.000000	181.000000	181.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393193	CNMA	2024-12-05 09:10:00	60	60	0	0	181.000000	181.000000	181.000000	181.000000	12000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393194	CNMA	2024-12-05 09:11:00	60	60	0	0	180.000000	180.000000	180.000000	180.000000	150000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393195	CNMA	2024-12-05 09:14:00	60	180	1	0	181.000000	181.000000	181.000000	181.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393196	CNMA	2024-12-05 09:15:00	60	60	0	0	181.000000	181.000000	181.000000	181.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393197	CNMA	2024-12-05 09:17:00	60	120	1	0	180.000000	180.000000	180.000000	180.000000	1500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393198	CNMA	2024-12-05 09:26:00	60	540	1	0	180.000000	180.000000	180.000000	180.000000	19200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393199	CNMA	2024-12-05 09:28:00	60	120	1	0	179.000000	179.000000	179.000000	179.000000	8100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393200	CNMA	2024-12-05 09:29:00	60	60	0	0	180.000000	180.000000	180.000000	180.000000	800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393201	CNMA	2024-12-05 09:31:00	60	120	1	0	179.000000	179.000000	179.000000	179.000000	4100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393202	CNMA	2024-12-05 09:34:00	60	180	1	0	180.000000	180.000000	180.000000	180.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393203	CNMA	2024-12-05 09:35:00	60	60	0	0	180.000000	180.000000	180.000000	180.000000	501600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393204	CNMA	2024-12-05 09:39:00	60	240	1	0	180.000000	180.000000	180.000000	180.000000	600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393205	CNMA	2024-12-05 09:52:00	60	780	1	0	180.000000	180.000000	180.000000	180.000000	5500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393206	CNMA	2024-12-05 09:53:00	60	60	0	0	181.000000	181.000000	181.000000	181.000000	4100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393207	CNMA	2024-12-05 09:54:00	60	60	0	0	181.000000	181.000000	181.000000	181.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393208	CNMA	2024-12-05 09:55:00	60	60	0	0	180.000000	180.000000	180.000000	180.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393209	CNMA	2024-12-05 10:15:00	60	1200	1	0	180.000000	180.000000	180.000000	180.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393210	CNMA	2024-12-05 10:19:00	60	240	1	0	181.000000	181.000000	181.000000	181.000000	3000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393211	CNMA	2024-12-05 10:43:00	60	1440	1	0	180.000000	180.000000	180.000000	180.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393212	CNMA	2024-12-05 10:46:00	60	180	1	0	180.000000	180.000000	180.000000	180.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393213	CNMA	2024-12-05 10:47:00	60	60	0	0	180.000000	180.000000	180.000000	180.000000	38200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
393214	CNMA	2024-12-05 10:48:00	60	60	0	0	181.000000	181.000000	181.000000	181.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
