source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
395288	COCO	2024-12-05 09:00:00	60		0	0	31.301588	31.301588	31.301588	31.301588	5431	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
395289	COCO	2024-12-05 09:06:00	60	360	1	0	31.301588	31.301588	31.301588	31.301588	543	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395290	COCO	2024-12-05 09:07:00	60	60	0	0	31.301588	31.301588	31.301588	31.301588	272	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395291	COCO	2024-12-05 09:08:00	60	60	0	0	31.301588	31.301588	31.301588	31.301588	272	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395292	COCO	2024-12-05 09:09:00	60	60	0	0	31.301588	31.301588	31.301588	31.301588	272	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395293	COCO	2024-12-05 09:10:00	60	60	0	0	31.301588	31.301588	31.301588	31.301588	1358	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395294	COCO	2024-12-05 09:11:00	60	60	0	0	31.301588	31.301588	31.301588	31.301588	815	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395295	COCO	2024-12-05 09:29:00	60	1080	1	0	30.933334	30.933334	30.933334	30.933334	6517	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395296	COCO	2024-12-05 09:36:00	60	420	1	0	31.301588	31.301588	31.301588	31.301588	2716	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395297	COCO	2024-12-05 09:58:00	60	1320	1	0	31.301588	31.301588	31.301588	31.301588	543	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395298	COCO	2024-12-05 10:01:00	60	180	1	0	31.301588	31.301588	31.301588	31.301588	1358	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395299	COCO	2024-12-05 10:02:00	60	60	0	0	31.301588	31.301588	31.301588	31.301588	135776	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395300	COCO	2024-12-05 10:04:00	60	120	1	0	31.301588	31.301588	31.301588	31.301588	26884	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395301	COCO	2024-12-05 10:05:00	60	60	0	0	31.301588	31.301588	31.301588	31.301588	272	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395302	COCO	2024-12-05 10:21:00	60	960	1	0	31.301588	31.301588	31.301588	31.301588	272	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395303	COCO	2024-12-05 10:40:00	60	1140	1	0	31.301588	31.301588	31.301588	31.301588	272	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395304	COCO	2024-12-05 10:56:00	60	960	1	0	31.301588	31.301588	31.301588	31.301588	272	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395305	COCO	2024-12-05 11:10:00	60	840	1	0	31.301588	31.301588	31.301588	31.301588	3259	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395306	COCO	2024-12-05 11:11:00	60	60	0	0	31.301588	31.301588	31.301588	31.301588	2172	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395307	COCO	2024-12-05 11:12:00	60	60	0	0	31.301588	31.301588	31.301588	31.301588	2716	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395308	COCO	2024-12-05 11:17:00	60	300	1	0	31.669842	31.669842	31.669842	31.669842	272	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395309	COCO	2024-12-05 11:19:00	60	120	1	0	31.301588	31.301588	31.301588	31.301588	2172	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395310	COCO	2024-12-05 11:24:00	60	300	1	0	31.301588	31.301588	31.301588	31.301588	543	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395311	COCO	2024-12-05 11:25:00	60	60	0	0	31.301588	31.301588	31.301588	31.301588	1086	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395312	COCO	2024-12-05 11:36:00	60	660	1	0	31.301588	31.301588	30.933334	30.933334	461638	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395313	COCO	2024-12-05 11:40:00	60	240	1	0	31.301588	31.301588	31.301588	31.301588	135776	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395314	COCO	2024-12-05 11:41:00	60	60	0	0	30.933334	30.933334	30.933334	30.933334	55397	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395315	COCO	2024-12-05 11:48:00	60	420	1	0	31.301588	31.301588	31.301588	31.301588	543	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395316	COCO	2024-12-05 11:51:00	60	180	1	0	31.669842	31.669842	31.669842	31.669842	272	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
395317	COCO	2024-12-05 11:58:00	60	420	1	0	31.301588	31.301588	31.301588	31.301588	5974	20	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1
395318	COCO	2024-12-05 13:30:00	60	5520	1	0	31.301588	31.301588	31.301588	31.301588	272	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
395319	COCO	2024-12-05 13:31:00	60	60	0	0	31.301588	31.301588	31.301588	31.301588	13578	40	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-1	-1	-1
395320	COCO	2024-12-05 13:39:00	60	480	1	0	31.301588	31.669842	31.301588	31.669842	5974	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
395321	COCO	2024-12-05 13:42:00	60	180	1	0	31.669842	31.669842	31.669842	31.669842	26612	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
395322	COCO	2024-12-05 13:47:00	60	300	1	0	31.669842	31.669842	31.669842	31.669842	27155	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
395323	COCO	2024-12-05 14:03:00	60	960	1	0	31.669842	31.669842	31.669842	31.669842	13578	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
395324	COCO	2024-12-05 14:23:00	60	1200	1	0	31.301588	31.301588	31.301588	31.301588	272	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
395325	COCO	2024-12-05 14:24:00	60	60	0	0	31.301588	31.301588	31.301588	31.301588	17651	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
395326	COCO	2024-12-05 14:46:00	60	1320	1	0	31.669842	31.669842	31.669842	31.669842	13578	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
395327	COCO	2024-12-05 14:50:00	60	240	1	0	31.669842	31.669842	31.669842	31.669842	1901	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
395328	COCO	2024-12-05 14:51:00	60	60	0	0	31.669842	31.669842	31.669842	31.669842	815	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
395329	COCO	2024-12-05 15:02:00	60	660	1	0	31.301588	31.301588	31.301588	31.301588	1086	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
395330	COCO	2024-12-05 15:07:00	60	300	1	0	31.301588	31.301588	31.301588	31.301588	152069	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
