source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
396898	COMPOSITE	2024-12-05 09:00:00	60		0	0	7326.339844	7338.600098	7323.939941	7333.270020	206305408	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
396899	COMPOSITE	2024-12-05 09:01:00	60	60	0	0	7333.270020	7336.279785	7329.169922	7333.580078	128184600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
396900	COMPOSITE	2024-12-05 09:02:00	60	60	0	0	7333.580078	7334.490234	7323.669922	7328.020020	87225104	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
396901	COMPOSITE	2024-12-05 09:03:00	60	60	0	0	7328.020020	7329.700195	7314.399902	7321.790039	82117504	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
396902	COMPOSITE	2024-12-05 09:04:00	60	60	0	0	7321.790039	7324.060059	7317.709961	7321.160156	79569696	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
396903	COMPOSITE	2024-12-05 09:05:00	60	60	0	0	7321.160156	7323.259766	7311.600098	7316.549805	153924400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396904	COMPOSITE	2024-12-05 09:06:00	60	60	0	0	7316.549805	7319.500000	7310.799805	7312.680176	86027800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396905	COMPOSITE	2024-12-05 09:07:00	60	60	0	0	7312.680176	7317.740234	7307.830078	7309.259766	82665696	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396906	COMPOSITE	2024-12-05 09:08:00	60	60	0	0	7309.259766	7313.410156	7305.729980	7311.470215	94015200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396907	COMPOSITE	2024-12-05 09:09:00	60	60	0	0	7311.470215	7313.669922	7307.370117	7313.430176	71389104	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396908	COMPOSITE	2024-12-05 09:10:00	60	60	0	0	7313.430176	7313.430176	7304.000000	7306.470215	73400304	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396909	COMPOSITE	2024-12-05 09:11:00	60	60	0	0	7306.470215	7310.990234	7302.160156	7305.850098	61650200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396910	COMPOSITE	2024-12-05 09:12:00	60	60	0	0	7305.850098	7307.359863	7296.529785	7300.419922	43905100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396911	COMPOSITE	2024-12-05 09:13:00	60	60	0	0	7300.419922	7301.560059	7294.029785	7300.569824	83580896	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396912	COMPOSITE	2024-12-05 09:14:00	60	60	0	0	7300.569824	7303.750000	7291.500000	7294.589844	88995600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396913	COMPOSITE	2024-12-05 09:15:00	60	60	0	0	7294.589844	7297.890137	7287.439941	7293.640137	63225400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396914	COMPOSITE	2024-12-05 09:16:00	60	60	0	0	7293.640137	7296.490234	7286.200195	7290.990234	57583800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396915	COMPOSITE	2024-12-05 09:17:00	60	60	0	0	7290.990234	7297.379883	7287.279785	7295.450195	66269400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396916	COMPOSITE	2024-12-05 09:18:00	60	60	0	0	7295.450195	7303.839844	7293.770020	7301.490234	83820096	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396917	COMPOSITE	2024-12-05 09:19:00	60	60	0	0	7301.490234	7305.209961	7295.310059	7303.669922	286263712	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396918	COMPOSITE	2024-12-05 09:20:00	60	60	0	0	7303.669922	7312.689941	7298.020020	7312.689941	71593504	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396919	COMPOSITE	2024-12-05 09:21:00	60	60	0	0	7312.689941	7319.750000	7310.229980	7317.240234	43691800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396920	COMPOSITE	2024-12-05 09:22:00	60	60	0	0	7317.240234	7319.000000	7311.529785	7316.419922	59757700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396921	COMPOSITE	2024-12-05 09:23:00	60	60	0	0	7316.419922	7319.459961	7313.160156	7315.390137	107008304	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396922	COMPOSITE	2024-12-05 09:24:00	60	60	0	0	7315.390137	7318.020020	7310.490234	7315.589844	62480900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396923	COMPOSITE	2024-12-05 09:25:00	60	60	0	0	7315.589844	7317.009766	7308.649902	7311.020020	63130900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396924	COMPOSITE	2024-12-05 09:26:00	60	60	0	0	7311.020020	7313.029785	7309.620117	7311.049805	99524000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396925	COMPOSITE	2024-12-05 09:27:00	60	60	0	0	7311.049805	7311.479980	7305.830078	7310.330078	65233100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396926	COMPOSITE	2024-12-05 09:28:00	60	60	0	0	7310.330078	7312.279785	7306.439941	7309.450195	47033000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
396927	COMPOSITE	2024-12-05 09:29:00	60	60	0	0	7309.450195	7310.700195	7303.939941	7306.069824	42235600	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
