source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
402869	CPIN	2024-12-05 08:59:00	60		0	0	4970.000000	4970.000000	4970.000000	4970.000000	10100	11	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	-1	-1
402870	CPIN	2024-12-05 09:00:00	60	60	0	0	4960.000000	4960.000000	4920.000000	4950.000000	13100	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
402871	CPIN	2024-12-05 09:01:00	60	60	0	0	4950.000000	4950.000000	4920.000000	4930.000000	800	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
402872	CPIN	2024-12-05 09:02:00	60	60	0	0	4930.000000	4930.000000	4920.000000	4930.000000	800	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
402873	CPIN	2024-12-05 09:03:00	60	60	0	0	4920.000000	4920.000000	4900.000000	4900.000000	31200	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
402874	CPIN	2024-12-05 09:04:00	60	60	0	0	4900.000000	4910.000000	4900.000000	4910.000000	4600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
402875	CPIN	2024-12-05 09:05:00	60	60	0	0	4900.000000	4910.000000	4900.000000	4910.000000	8700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
402876	CPIN	2024-12-05 09:06:00	60	60	0	0	4910.000000	4920.000000	4910.000000	4910.000000	17700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
402877	CPIN	2024-12-05 09:07:00	60	60	0	0	4920.000000	4920.000000	4920.000000	4920.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
402878	CPIN	2024-12-05 09:08:00	60	60	0	0	4920.000000	4930.000000	4920.000000	4920.000000	11700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
402879	CPIN	2024-12-05 09:09:00	60	60	0	0	4920.000000	4920.000000	4920.000000	4920.000000	4900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
402880	CPIN	2024-12-05 09:11:00	60	120	1	0	4920.000000	4930.000000	4920.000000	4930.000000	7900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
