source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
407275	CPRO	2024-12-05 09:00:00	60		0	0	50.000000	50.000000	50.000000	50.000000	143300	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
407276	CPRO	2024-12-05 09:05:00	60	300	1	0	50.000000	50.000000	50.000000	50.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407277	CPRO	2024-12-05 09:06:00	60	60	0	0	50.000000	50.000000	50.000000	50.000000	2500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407278	CPRO	2024-12-05 09:07:00	60	60	0	0	50.000000	50.000000	50.000000	50.000000	8500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407279	CPRO	2024-12-05 09:09:00	60	120	1	0	50.000000	50.000000	50.000000	50.000000	3000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407280	CPRO	2024-12-05 09:17:00	60	480	1	0	50.000000	50.000000	50.000000	50.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407281	CPRO	2024-12-05 09:19:00	60	120	1	0	50.000000	50.000000	50.000000	50.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407282	CPRO	2024-12-05 09:20:00	60	60	0	0	50.000000	50.000000	50.000000	50.000000	1400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407283	CPRO	2024-12-05 09:24:00	60	240	1	0	50.000000	50.000000	50.000000	50.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407284	CPRO	2024-12-05 09:28:00	60	240	1	0	50.000000	50.000000	50.000000	50.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407285	CPRO	2024-12-05 09:37:00	60	540	1	0	50.000000	50.000000	50.000000	50.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407286	CPRO	2024-12-05 09:39:00	60	120	1	0	50.000000	50.000000	50.000000	50.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407287	CPRO	2024-12-05 09:40:00	60	60	0	0	50.000000	50.000000	50.000000	50.000000	10000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407288	CPRO	2024-12-05 10:00:00	60	1200	1	0	50.000000	50.000000	50.000000	50.000000	20900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407289	CPRO	2024-12-05 10:02:00	60	120	1	0	50.000000	50.000000	50.000000	50.000000	50000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407290	CPRO	2024-12-05 10:18:00	60	960	1	0	50.000000	50.000000	50.000000	50.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407291	CPRO	2024-12-05 10:32:00	60	840	1	0	50.000000	50.000000	50.000000	50.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
