source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
406676	CRAB	2024-12-05 09:08:00	60		0	0	262.000000	262.000000	262.000000	262.000000	200	20	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
406677	CRAB	2024-12-05 09:30:00	60	1320	1	0	260.000000	260.000000	260.000000	260.000000	90000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
406678	CRAB	2024-12-05 10:17:00	60	2820	1	0	260.000000	260.000000	260.000000	260.000000	94700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
406679	CRAB	2024-12-05 10:22:00	60	300	1	0	260.000000	260.000000	260.000000	260.000000	36300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
406680	CRAB	2024-12-05 10:25:00	60	180	1	0	260.000000	260.000000	260.000000	260.000000	69700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
406681	CRAB	2024-12-05 10:33:00	60	480	1	0	260.000000	260.000000	260.000000	260.000000	4200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
406682	CRAB	2024-12-05 10:42:00	60	540	1	0	260.000000	260.000000	260.000000	260.000000	87900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
406683	CRAB	2024-12-05 10:53:00	60	660	1	0	260.000000	260.000000	260.000000	260.000000	50000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
406684	CRAB	2024-12-05 11:01:00	60	480	1	0	260.000000	260.000000	260.000000	260.000000	78800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
406685	CRAB	2024-12-05 11:02:00	60	60	0	0	260.000000	260.000000	260.000000	260.000000	100000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
