source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
408209	CRSN	2024-12-05 09:00:00	60		0	0	86.000000	95.000000	86.000000	95.000000	700	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
408210	CRSN	2024-12-05 09:02:00	60	120	1	0	93.000000	93.000000	93.000000	93.000000	10000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
408211	CRSN	2024-12-05 09:04:00	60	120	1	0	94.000000	94.000000	94.000000	94.000000	5000	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
408212	CRSN	2024-12-05 09:05:00	60	60	0	0	94.000000	97.000000	94.000000	97.000000	6000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
408213	CRSN	2024-12-05 09:06:00	60	60	0	0	97.000000	98.000000	97.000000	98.000000	12800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
408214	CRSN	2024-12-05 09:07:00	60	60	0	0	94.000000	94.000000	94.000000	94.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
408215	CRSN	2024-12-05 09:09:00	60	120	1	0	98.000000	98.000000	98.000000	98.000000	200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
408216	CRSN	2024-12-05 09:28:00	60	1140	1	0	95.000000	95.000000	95.000000	95.000000	700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
408217	CRSN	2024-12-05 09:33:00	60	300	1	0	95.000000	95.000000	95.000000	95.000000	1500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
408218	CRSN	2024-12-05 09:42:00	60	540	1	0	94.000000	94.000000	94.000000	94.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
408219	CRSN	2024-12-05 09:43:00	60	60	0	0	94.000000	94.000000	94.000000	94.000000	14100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
