source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
407945	CSAP	2024-12-05 09:44:00	60		0	0	448.000000	448.000000	448.000000	448.000000	3000	20	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407946	CSAP	2024-12-05 10:03:00	60	1140	1	0	454.000000	454.000000	454.000000	454.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407947	CSAP	2024-12-05 10:19:00	60	960	1	0	454.000000	454.000000	454.000000	454.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407948	CSAP	2024-12-05 11:40:00	60	4860	1	0	454.000000	454.000000	454.000000	454.000000	300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
407949	CSAP	2024-12-05 14:14:00	60	9240	1	0	454.000000	454.000000	454.000000	454.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
407950	CSAP	2024-12-05 14:16:00	60	120	1	0	446.000000	446.000000	446.000000	446.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
407951	CSAP	2024-12-05 14:20:00	60	240	1	0	446.000000	446.000000	446.000000	446.000000	200	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
407952	CSAP	2024-12-05 15:02:00	60	2520	1	0	446.000000	446.000000	446.000000	446.000000	2700	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
407953	CSAP	2024-12-05 15:03:00	60	60	0	0	446.000000	446.000000	446.000000	446.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
407954	CSAP	2024-12-05 15:41:00	60	2280	1	0	446.000000	446.000000	446.000000	446.000000	100	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1
