source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
409600	CSRA	2024-12-05 09:06:00	60		0	0	725.000000	725.000000	725.000000	725.000000	800	20	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
409601	CSRA	2024-12-05 09:07:00	60	60	0	0	725.000000	725.000000	725.000000	725.000000	68200	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
409602	CSRA	2024-12-05 09:11:00	60	240	1	0	730.000000	730.000000	730.000000	730.000000	900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
409603	CSRA	2024-12-05 09:14:00	60	180	1	0	730.000000	730.000000	730.000000	730.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
409604	CSRA	2024-12-05 09:23:00	60	540	1	0	725.000000	725.000000	725.000000	725.000000	500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
409605	CSRA	2024-12-05 09:28:00	60	300	1	0	725.000000	725.000000	725.000000	725.000000	7900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
409606	CSRA	2024-12-05 09:41:00	60	780	1	0	725.000000	725.000000	725.000000	725.000000	14800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
409607	CSRA	2024-12-05 09:45:00	60	240	1	0	725.000000	725.000000	725.000000	725.000000	100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
409608	CSRA	2024-12-05 09:52:00	60	420	1	0	730.000000	730.000000	730.000000	730.000000	2000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
409609	CSRA	2024-12-05 09:53:00	60	60	0	0	730.000000	730.000000	730.000000	730.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
