source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
411168	CTRA	2024-12-05 09:00:00	60		0	0	1105.000000	1120.000000	1105.000000	1115.000000	438000	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
411169	CTRA	2024-12-05 09:01:00	60	60	0	0	1110.000000	1115.000000	1110.000000	1115.000000	9600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
411170	CTRA	2024-12-05 09:02:00	60	60	0	0	1110.000000	1110.000000	1105.000000	1105.000000	43400	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
411171	CTRA	2024-12-05 09:03:00	60	60	0	0	1110.000000	1110.000000	1105.000000	1105.000000	15800	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
411172	CTRA	2024-12-05 09:04:00	60	60	0	0	1110.000000	1110.000000	1105.000000	1110.000000	149600	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
411173	CTRA	2024-12-05 09:05:00	60	60	0	0	1110.000000	1115.000000	1110.000000	1110.000000	92000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411174	CTRA	2024-12-05 09:06:00	60	60	0	0	1110.000000	1110.000000	1105.000000	1110.000000	123100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411175	CTRA	2024-12-05 09:07:00	60	60	0	0	1115.000000	1120.000000	1110.000000	1120.000000	128100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411176	CTRA	2024-12-05 09:08:00	60	60	0	0	1110.000000	1120.000000	1110.000000	1120.000000	6800	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411177	CTRA	2024-12-05 09:09:00	60	60	0	0	1120.000000	1120.000000	1115.000000	1115.000000	5300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411178	CTRA	2024-12-05 09:10:00	60	60	0	0	1115.000000	1115.000000	1110.000000	1110.000000	20900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411179	CTRA	2024-12-05 09:11:00	60	60	0	0	1115.000000	1115.000000	1115.000000	1115.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411180	CTRA	2024-12-05 09:12:00	60	60	0	0	1115.000000	1115.000000	1110.000000	1110.000000	7100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411181	CTRA	2024-12-05 09:13:00	60	60	0	0	1110.000000	1110.000000	1105.000000	1105.000000	175500	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411182	CTRA	2024-12-05 09:14:00	60	60	0	0	1110.000000	1110.000000	1110.000000	1110.000000	162100	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411183	CTRA	2024-12-05 09:15:00	60	60	0	0	1110.000000	1110.000000	1110.000000	1110.000000	400	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411184	CTRA	2024-12-05 09:16:00	60	60	0	0	1110.000000	1110.000000	1110.000000	1110.000000	37000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411185	CTRA	2024-12-05 09:17:00	60	60	0	0	1115.000000	1115.000000	1115.000000	1115.000000	204700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411186	CTRA	2024-12-05 09:18:00	60	60	0	0	1115.000000	1115.000000	1115.000000	1115.000000	5700	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411187	CTRA	2024-12-05 09:19:00	60	60	0	0	1115.000000	1120.000000	1115.000000	1115.000000	246300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411188	CTRA	2024-12-05 09:20:00	60	60	0	0	1115.000000	1115.000000	1115.000000	1115.000000	1000	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411189	CTRA	2024-12-05 09:21:00	60	60	0	0	1115.000000	1115.000000	1115.000000	1115.000000	117300	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
411190	CTRA	2024-12-05 09:22:00	60	60	0	0	1115.000000	1115.000000	1115.000000	1115.000000	107900	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
