#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=CTRA|date=2024-12-05|rows=226|source_base=411168|compact_sha=3d05947032a5c9b20e37e6e7259ca34390810fe492004676b2d826c30154c1a0
defaults_json={"RAW_TICKER":"CTRA","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"40","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"0","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"1","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
0|09:00:00|1105.000000|1120.000000|1105.000000|1115.000000|438000|x3=20;x4=1;x5=1;x8=1;x10=0;x14=1
1|09:01:00|1110.000000|1115.000000|1110.000000|1115.000000|9600|x3=20;x8=1;x10=0;x14=1
2|09:02:00|1110.000000|1110.000000|1105.000000|1105.000000|43400|x3=20;x8=1;x10=0;x14=1
3|09:03:00|1110.000000|1110.000000|1105.000000|1105.000000|15800|x3=20;x8=1;x10=0;x14=1
4|09:04:00|1110.000000|1110.000000|1105.000000|1110.000000|149600|x3=20;x8=1;x10=0;x14=1
5|09:05:00|1110.000000|1115.000000|1110.000000|1110.000000|92000|x3=20;x8=1;x10=0
6|09:06:00|1110.000000|1110.000000|1105.000000|1110.000000|123100|x3=20;x8=1;x10=0
7|09:07:00|1115.000000|1120.000000|1110.000000|1120.000000|128100|x3=20;x8=1;x10=0
8|09:08:00|1110.000000|1120.000000|1110.000000|1120.000000|6800|x3=20;x8=1;x10=0
9|09:09:00|1120.000000|1120.000000|1115.000000|1115.000000|5300|x3=20;x8=1;x10=0
10|09:10:00|1115.000000|1115.000000|1110.000000|1110.000000|20900|x3=20;x8=1;x10=0
11|09:11:00|1115.000000|1115.000000|1115.000000|1115.000000|1000|x3=20;x8=1;x10=0
12|09:12:00|1115.000000|1115.000000|1110.000000|1110.000000|7100|x3=20;x8=1;x10=0
13|09:13:00|1110.000000|1110.000000|1105.000000|1105.000000|175500|x3=20;x8=1;x10=0
14|09:14:00|1110.000000|1110.000000|1110.000000|1110.000000|162100|x3=20;x8=1;x10=0
15|09:15:00|1110.000000|1110.000000|1110.000000|1110.000000|400|x3=20;x8=1;x10=0
16|09:16:00|1110.000000|1110.000000|1110.000000|1110.000000|37000|x3=20;x8=1;x10=0
17|09:17:00|1115.000000|1115.000000|1115.000000|1115.000000|204700|x3=20;x8=1;x10=0
18|09:18:00|1115.000000|1115.000000|1115.000000|1115.000000|5700|x3=20;x8=1;x10=0
19|09:19:00|1115.000000|1120.000000|1115.000000|1115.000000|246300|x3=20;x8=1;x10=0
20|09:20:00|1115.000000|1115.000000|1115.000000|1115.000000|1000|x3=20;x8=1;x10=0
21|09:21:00|1115.000000|1115.000000|1115.000000|1115.000000|117300|x3=20;x8=1;x10=0
22|09:22:00|1115.000000|1115.000000|1115.000000|1115.000000|107900|x3=20;x8=1;x10=0
23|09:23:00|1115.000000|1120.000000|1115.000000|1120.000000|1000|x3=20;x8=1;x10=0
24|09:24:00|1115.000000|1115.000000|1115.000000|1115.000000|2000|x3=20;x8=1;x10=0
25|09:25:00|1115.000000|1120.000000|1115.000000|1120.000000|4500|x3=20;x8=1;x10=0
