source_row	RAW_TICKER	RAW_DATETIME_ISO	RAW_INTERVAL_SEC	OBS_DELTA_PREV_SEC_SAME_DATE	OBS_GAP_GT_BASE_INTERVAL_FLAG	OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG	RAW_OPEN	RAW_HIGH	RAW_LOW	RAW_CLOSE	RAW_VOLUME	IDX_REGULAR_CLOCK_SESSION_CODE	DATE_CHANGE_FROM_PREV_FLAG	DATE_FIRST_OBS_IN_RANGE_FLAG	ANALYSIS_RANGE_LAST_OBS_FLAG	CLK_PREOPEN_INPUT_FLAG	CLK_REGULAR_SESSION1_FLAG	CLK_OFFICIAL_MIDDAY_BREAK_FLAG	CLK_REGULAR_SESSION2_FLAG	CLK_PRECLOSE_INPUT_FLAG	CLK_POSTCLOSE_FLAG	BND_PRE_REG_OPEN_5M_FLAG	BND_FIRST_S1_5M_FLAG	BND_LAST_S1_5M_FLAG	BND_PRE_S2_5M_FLAG	BND_FIRST_S2_5M_FLAG	BND_LAST_REGULAR_5M_FLAG	BND_FIRST_PRECLOSE_5M_FLAG	RAW_AUX1_SEMANTIC_PROVEN_CODE	RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE	RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE
416203	CUAN	2024-12-05 09:00:00	60		0	0	711.051880	718.562988	708.548157	711.051880	764867	20	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
416204	CUAN	2024-12-05 09:01:00	60	60	0	0	711.051880	718.562988	711.051880	716.059265	161760	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
416205	CUAN	2024-12-05 09:02:00	60	60	0	0	716.059265	718.562988	716.059265	716.059265	170747	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
416206	CUAN	2024-12-05 09:03:00	60	60	0	0	716.059265	728.577759	713.555542	728.577759	871709	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
416207	CUAN	2024-12-05 09:04:00	60	60	0	0	723.570374	731.081482	723.570374	731.081482	1043454	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1
416208	CUAN	2024-12-05 09:05:00	60	60	0	0	728.577759	731.081482	728.577759	731.081482	153772	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
416209	CUAN	2024-12-05 09:06:00	60	60	0	0	731.081482	731.081482	728.577759	731.081482	408395	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
416210	CUAN	2024-12-05 09:07:00	60	60	0	0	731.081482	733.585205	726.074097	728.577759	1460836	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
416211	CUAN	2024-12-05 09:08:00	60	60	0	0	728.577759	731.081482	726.074097	728.577759	256620	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
416212	CUAN	2024-12-05 09:09:00	60	60	0	0	728.577759	731.081482	726.074097	728.577759	290570	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
416213	CUAN	2024-12-05 09:10:00	60	60	0	0	728.577759	731.081482	726.074097	728.577759	31953	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
416214	CUAN	2024-12-05 09:11:00	60	60	0	0	726.074097	728.577759	721.066650	721.066650	1190237	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
416215	CUAN	2024-12-05 09:12:00	60	60	0	0	723.570374	723.570374	721.066650	721.066650	371450	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
